HF_ID,HF_CODE,NAME_KH,NAME_EN,PRO_CODE,PRO_NAME_KH,PRO_NAME_EN,DIS_CODE,DIS_NAME_KH,DIS_NAME_EN,OD_CODE,OD_NAME_KH,OD_NAME_EN,COM_CODE,COM_NAME_KH,COM__NAME_EN,VIL_CODE,VIL_NAME_KH,VIL__NAME_EN,OWNERSHIP,ACRONYM,HF_TYPE_EN,HF_TYPE_KH,HF_LEVEL,HF_HEAD,CONTACT_NO,CONTACT_EMAIL,HF_LAT,HF_LON,START_DATE,GOOGLE_MAP_LINK,STATUS
,020101,RH មន្ទីរពេទ្យបង្អែកថ្មគោល,RH Thmar Koul ,02,បាត់ដំបង,Battambang,0202,ថ្មគោល,Thma Koul,0201,ថ្មគោល,Thmar Koul,020201,តាពូង,Ta Pung,02020102,ប៉ោយយង់,Paoy Yong,DPHI (GPS),RH,Referral Hospital,មន្ទីរពេទ្យបង្អែកស្រុក,,គង់ ប៉ាក់,855 12701160,None,13.25343575,103.0925245,01/01/2006,https://maps.app.goo.gl/RpDRSmn9A6DVExKeA,Operational
,020102,HC បន្សាយត្រែង,HC Bansay Traeng ,02,បាត់ដំបង,Battambang,0202,ថ្មគោល,Thma Koul,0201,ថ្មគោល,Thmar Koul,020209,បន្សាយត្រែង,Bansay Traeng,02020903,ថ្មី,Thmei,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ឆឹម ណារ៉េត,855 92264692,None,13.26508191,103.0247565,01/01/2006,https://maps.app.goo.gl/xmtWKampTM26kBaB7,Operational
,020103,HC រូងជ្រៃ,HC Rung Chrey ,02,បាត់ដំបង,Battambang,0202,ថ្មគោល,Thma Koul,0201,ថ្មគោល,Thmar Koul,020210,រូងជ្រៃ,Rung Chrey,02021003,គោកខ្ពស់,Kouk Khpos,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ហេវ ចិន្តា,855 92264692,None,13.26208658,102.9844182,01/01/2006,https://maps.app.goo.gl/vPNkDBrhrJDh7gwE6?g_st=it,Operational
,020104,HC បឹងព្រីង,HC Boeng Pring ,02,បាត់ដំបង,Battambang,0202,ថ្មគោល,Thma Koul,0201,ថ្មគោល,Thmar Koul,020207,បឹងព្រីង,Boeng Pring,02020701,បឹងព្រីង,Boeng Pring,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,រឿន ចន្ថា,855 12389639,None,13.36463312,103.0353713,13/08/2006,https://maps.app.goo.gl/i6GDF9RJ3CXd2nB56,Operational
,020105,HC អូរតាគី,HC O Ta Ki ,02,បាត់ដំបង,Battambang,0202,ថ្មគោល,Thma Koul,0201,ថ្មគោល,Thmar Koul,020203,អូរតាគី,Ou Ta Ki,02020301,អូរតាគី,Ou Ta Ki,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,កែវ ចន្ទ័រិទ្ធ,855 12616584,None,13.14443129,103.1178133,01/01/2006,https://maps.app.goo.gl/vbGn4RieRKyPf8A19,Operational
,020106,HC អន្លង់រុន,HC Anlong Run ,02,បាត់ដំបង,Battambang,0202,ថ្មគោល,Thma Koul,0201,ថ្មគោល,Thmar Koul,020205,អន្លង់រុន,Anlong Run,02020501,ចារ,Char,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ស៊ី សាវុធ,855 77265 426,None,13.16963997,103.035116,01/01/2006,https://maps.app.goo.gl/6YqNFyYM3Lf7SW247,Operational
,020107,HC តាពូង,HC Ta Poung ,02,បាត់ដំបង,Battambang,0202,ថ្មគោល,Thma Koul,0201,ថ្មគោល,Thmar Koul,020201,តាពូង,Ta Pung,02020103,កសិកម្ម,Kaksekam,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ជេត ណារី,855 77967005,None,13.2609949,103.0895243,01/01/2006,https://maps.app.goo.gl/BdLjCYFdiJxSGeGy8,Operational
,020108,HC តាម៉ឺន,HC Ta Meun ,02,បាត់ដំបង,Battambang,0202,ថ្មគោល,Thma Koul,0201,ថ្មគោល,Thmar Koul,020202,តាម៉ឺន,Ta Meun,02020209,អង់ជើង,Ang Cheung,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,អាន ឆេង,855 12774926,None,13.27328769,103.1166156,01/01/2006,https://maps.app.goo.gl/T3PoyBe5YxeS94nN7,Operational
,020109,HC គោកឃ្មុំ,HC Kok Khmum ,02,បាត់ដំបង,Battambang,0202,ថ្មគោល,Thma Koul,0201,ថ្មគោល,Thmar Koul,020208,គោកឃ្មុំ,Kouk Khmum,02020805,គោកឃ្មុំ,Kouk Khmum,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,តឹក គឹមសួ,855 12711214,None,13.2703189,103.0614949,01/01/2006,https://maps.app.goo.gl/giAKbGenGSnoHL2a8,Operational
,020111,HC បវេល ២,HC Bavel II ,02,បាត់ដំបង,Battambang,0204,បវេល,Bavel,0201,ថ្មគោល,Thmar Koul,020401,បវេល,Bavel,02040113,ព្រៃទទឹង ១,Prey Totueng Muoy,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ភោគ កនចេស្ដា,855 92907464,None,13.26618642,102.8710729,01/01/2006,https://maps.app.goo.gl/St2VAFJp7xCqFvcS7,Operational
,020112,HC ក្តុលតាហែន,HC Kdol Ta Hen ,02,បាត់ដំបង,Battambang,0204,បវេល,Bavel,0201,ថ្មគោល,Thmar Koul,020406,ក្ដុលតាហែន,Kdol Ta Haen,02040603,សាន,San,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,លី យុន,855 92248604,None,13.20855461,102.8498462,01/01/2006,https://maps.app.goo.gl/84JX5uDdDTkCHxrN6,Operational
