HF_ID,HF_CODE,NAME_KH,NAME_EN,PRO_CODE,PRO_NAME_KH,PRO_NAME_EN,DIS_CODE,DIS_NAME_KH,DIS_NAME_EN,OD_CODE,OD_NAME_KH,OD_NAME_EN,COM_CODE,COM_NAME_KH,COM__NAME_EN,VIL_CODE,VIL_NAME_KH,VIL__NAME_EN,OWNERSHIP,ACRONYM,HF_TYPE_EN,HF_TYPE_KH,HF_LEVEL,HF_HEAD,CONTACT_NO,CONTACT_EMAIL,HF_LAT,HF_LON,START_DATE,GOOGLE_MAP_LINK,STATUS,missing_required_fields
174130,NA,HC ប៉ោយប៉ែត,HC Poipet,01,បន្ទាយមានជ័យ,Banteay Meanchey,0105,ប៉ោយប៉ែត,Poipet,0102,ប៉ោយប៉ែត,Poipet,010509,ប៉ោយប៉ែត,Poipet,01050907,សិលាខ្មែរ,Seila Khmer,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,Unknown,NA,NA,13.6676066498525,102.58768258095,45292,,Operational,HF_CODE;HF_LEVEL;CONTACT_NO
198108,,HC គុត្តសត,HC KutShort,01,បន្ទាយមានជ័យ,Banteay Meanchey,0105,អូរជ្រៅ,Ou Chrov,0102,ប៉ោយប៉ែត,Poipet,010509,គុត្តសត,KutShort,01050907,សិលាខ្មែរ,Seila Khmer,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,លោក ឌី​ ប៊ុនយ៉ុង,889363794,yongban639@gmail.com,13.5920013073348,102.763018677879,45292,,Operational,HF_CODE
617549,NA,HC គំរូ,HC Kumrou,01,បន្ទាយមានជ័យ,Banteay Meanchey,0108,ថ្មពួក,thmor  Puok,0104,ថ្មពួក,thmor  Puok,010807,គំរូ,Kumrou,01080706,តាយឹង,Tayeung,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,លោក ឡេង សោភ័ណ,885 12 600 496,NA,13.9435378971924,103.050892881477,45292,,Operational,HF_CODE;HF_LEVEL
454262,010201,RH មន្ទីរពេទ្យបង្អែកប៉ោយប៉ែត,RH Poipet,01,បន្ទាយមានជ័យ,Banteay Meanchey,0105,ប៉ោយប៉ែត,Poipet,0102,ប៉ោយប៉ែត,Poipet,011003,អូរឫស្សី,Ou Russei,01100304,ប្រជាធម្មកើត,Prachea Thorm Kaeut,DPHI (GPS),HC,Referral Hospital,មន្ទីរពេទ្យបង្អែកក្រុង,CPA2,លោកវេជ្ជ.ឱក ទីណា,885 85 999 917,rhpoipet1@gmail.com,,,,,,HF_LAT;HF_LON;STATUS;START_DATE
916070,010126,HP សាយសាម៉ន,HP Say Samorn,01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mongkol Borei,0101,មង្គលបូរី,Mongkol Borei,010203,ចំណោម,Chamnaom,01020318,សាយសាម៉ន,Say Samon,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,លោក.អំ   សិលា,885 81 36 85 75,sela@168.com,13.4438221381643,102.840037002334,01/01/2006,,Operational,HF_LEVEL
045469,1040701,HP ក្វាវលិច,HP Khave Lech,01,បន្ទាយមានជ័យ,Banteay Meanchey,0108,ស្វាយចេក,Svay Chek,0104,ថ្មពួក,Thma Puok,010804,ស្វាយចេក,Svay Chek,01080410,ខ្វាវលិច,Khvav Lech,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,Unknown,NA,NA,13.8566492156079,102.869665126947,01/01/2006,,Operational,HF_LEVEL;CONTACT_NO
182370,1040401,HP ប្រាសាទត្បែង,HP Prasat Tbeng,01,បន្ទាយមានជ័យ,Banteay Meanchey,0107,ថ្មពួក,Thma Puok,0104,ថ្មពួក,Thma Puok,010701,បន្ទាយឆ្មារ,Banteay Chhmar,01070113,ប្រាសាទត្បែង,Prasat Tbaeng,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,លោក.ភួង វុត្ថា,885 12 248 088,NA,14.12353752,102.9625021,01/01/2006,,Operational,HF_LEVEL
841601,1012301,HP អូដង្កោ,HP Ou dongkoa,01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mongkol Borei,0101,មង្គលបូរី,Mongkol Borei,010208,រហាត់ទឹក,Rohat Tuek,01020809,អូរដង្កោ,Ou Dangkao,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,លោក.វ៉ន សុភត្ត្រា,885 89 658 267,sopheaktravorn88@gmail.com,13.49251567,102.9912068,01/01/2006,,Operational,HF_LEVEL
164549,,HPកំបោរ,HP Kamboa,01,បន្ទាយមានជ័យ,Banteay Meanchey,0104,ព្រះនេត្រព្រះ,Preah Netr Preah,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,010403,ភ្នំលៀប,Phnum Lieb,01040302,កំបោរ,kamboa,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,លោកស្រី រស់ ដាណែត,885 77z 776 554,,,,,,,HF_CODE;HF_LEVEL;HF_LAT;HF_LON;STATUS;START_DATE
319158,010315,HP គោកកី,HP Kouk Key,01,បន្ទាយមានជ័យ,Banteay Meanchey,0104,ព្រះនេត្រព្រះ,Preah Netr Preah,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,010408,ទឹកជោរ,Tuek Chour,01040804,គោកកី,Kouk Kei,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,លោក ច្រឹក លួង,885 88 941 38 56,NA,13.63941757,103.3531041,01/01/2016,,Operational,HF_LEVEL
116347,,HP បឹងជង្រុក,HPBoeung Chungruk Techo Chhneas Chhneas,01,បន្ទាយមានជ័យ,Banteay Meanchey,0109,ម៉ាឡៃ,Malai,0109,ម៉ាឡៃ,Malai,010901,ទួលពង្រ,Tuol Pongro,,បឹងជង្រុកតេជោឈ្នះឈ្នះ,Boeung Chungruk Techo Chhneas Chhneas,DPHI (GPS),HP,Health Post,ប៉ុស្តសុខភាព,,កញ្ញា ខុប គន្ធា,885 87 241 619,,,,,,,HF_CODE;HF_LEVEL;VIL_CODE;HF_LAT;HF_LON;STATUS;START_DATE
903415,010122,HP ព្រីងកោង,HP Pring Koang,01,បន្ទាយមានជ័យ,Banteay Meanchey,0104,ព្រះនេត្រព្រះ,Preah Netr Preah,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,010409,បុស្សស្បូវ,Bos Sbov,01040911,ព្រីងកោង,Prignkorng,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,លោកស្រីស៊ុម សុជាតិ,885 77 814 106,NA,13.72986385,103.0670239,01/01/2023,,Operational,HF_LEVEL
868274,010314,HP កូនខ្លែង,HP Kuon Klaeng,01,បន្ទាយមានជ័យ,Banteay Meanchey,0103,ភ្នំស្រុក,Phnum Srok,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,010302,ប៉ោយចារ,Poy Char,01030202,ប៉ោយចារ,Poy Char,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,លោកស្រី វៀន ម៉ូរតនា,885 88 553 93 89,NA,13.9092907815627,103.299629077871,01/03/2018,,Operational,HF_LEVEL
411323,,HP ស្លែង,HP Sleng,01,បន្ទាយមានជ័យ,Banteay Meanchey,0108,ស្វាយចេក,Svay Chek,0104,ថ្មពួក,thmor  Puok,,ស្វាយចេក,Svay Chek,,ស្លែង,Sleng,DPHI (GPS),HP,Health Post,ប៉ុស្តសុខភាព,,លោក មូល បៀត,885 97 247 0005,NA,,,,,,HF_CODE;HF_LEVEL;COM_CODE;VIL_CODE;HF_LAT;HF_LON;STATUS;START_DATE
672887,,HP ក្វាវលិច,HP Khav Lech,01,បន្ទាយមានជ័យ,Banteay Meanchey,0108,ស្វាយចេក,Svay Chek,0104,ថ្មពួក,thmor  Puok,,ស្វាយចេក,Svay Chek,,ខ្វាវលិច,Khav Lech,DPHI (GPS),HP,Health Post,ប៉ុស្តសុខភាព,,លោក ប៊ុន សារ៉ន,885 12 269 527,NA,,,,,,HF_CODE;HF_LEVEL;COM_CODE;VIL_CODE;HF_LAT;HF_LON;STATUS;START_DATE
