commune_code,commune_name,district_name,province_name
010503,Kuttasat,Ou Chrov,Banteay Meanchey
010507,Soengh,Ou Chrov,Banteay Meanchey
010706,Kumru,Thma Puok,Banteay Meanchey
010805,Ta Baen,Svay Chek,Banteay Meanchey
010905,Tuol Pongro,Malai,Banteay Meanchey
020102,Kantueu Pir,Banan,Battambang
020103,Bay Damram,Banan,Battambang
020302,Prek Preah Sdach,Battambang,Battambang
020303,Rottanak,Battambang,Battambang
020309,Ou Char,Battambang,Battambang
020503,Preaek Khpob,Aek Phnum,Battambang
020702,Andaeuk Haeb,Rotonak Mondol,Battambang
020901,Ta Taok,Samlout,Battambang
020904,Sung,Samlout,Battambang
021002,Angkor Ban,Sampov Lun,Battambang
021004,Santepheap,Sampov Lun,Battambang
021006,Chrey Seima,Sampov Lun,Battambang
021101,Phnum Proek,Phnum Proek,Battambang
021105,Ou Rumduol,Phnum Proek,Battambang
021202,Boeng Reang,Kamrieng,Battambang
021203,Ou Da,Kamrieng,Battambang
021205,Ta Saen,Kamrieng,Battambang
021303,Hab,Koas Krala,Battambang
021304,Preah Phos,Koas Krala,Battambang
021305,Doun Ba,Koas Krala,Battambang
021306,Chhnal Moan,Koas Krala,Battambang
021402,Prey Tralach,Rukh Kiri,Battambang
021403,Mukh Reah,Rukh Kiri,Battambang
030103,Chealea,Batheay,Kampong Cham
030105,Me Pring,Batheay,Kampong Cham
030302,Kouk Rovieng,Cheung Prey,Kampong Cham
030303,Pdau Chum,Cheung Prey,Kampong Cham
030304,Prey Char,Cheung Prey,Kampong Cham
030309,Sramar,Cheung Prey,Kampong Cham
030501,Boeng Kok,Kampong Cham,Kampong Cham
030608,Kaoh Tontuem,Kampong Siem,Kampong Cham
030611,Ro'ang,Kampong Siem,Kampong Cham
030612,Rumchek,Kampong Siem,Kampong Cham
030702,Kang Ta Noeng,Kang Meas,Kampong Cham
030705,Preaek Koy,Kang Meas,Kampong Cham
030709,Roka Koy,Kang Meas,Kampong Cham
030807,Pongro,Kaoh Soutin,Kampong Cham
031302,Boeng Nay,Prey Chhor,Kampong Cham
031304,Khvet Thum,Prey Chhor,Kampong Cham
031309,Prey Chhor,Prey Chhor,Kampong Cham
031312,Sragnae,Prey Chhor,Kampong Cham
031402,Chi Bal,Srei Santhor,Kampong Cham
031403,Khnar Sa,Srei Santhor,Kampong Cham
031404,Kaoh Andaet,Srei Santhor,Kampong Cham
031406,Phteah Kandal,Srei Santhor,Kampong Cham
031411,Ruessei Srok,Srei Santhor,Kampong Cham
031508,Preah Andoung,Stueng Trang,Kampong Cham
040101,Anhchanh Rung,Baribour,Kampong Chhnang
040103,Chak,Baribour,Kampong Chhnang
040104,Khon Rang,Baribour,Kampong Chhnang
040105,Kampong Preah Kokir,Baribour,Kampong Chhnang
040106,Melum,Baribour,Kampong Chhnang
040110,Ponley,Baribour,Kampong Chhnang
040201,Chol Sar,Chol Kiri,Kampong Chhnang
040203,Kampong Ous,Chol Kiri,Kampong Chhnang
040303,B'er,Kampong Chhnang,Kampong Chhnang
040304,Khsam,Kampong Chhnang,Kampong Chhnang
040402,Dar,Kampong Leaeng,Kampong Chhnang
040405,Pou,Kampong Leaeng,Kampong Chhnang
040407,Samraong Saen,Kampong Leaeng,Kampong Chhnang
040409,Trangel,Kampong Leaeng,Kampong Chhnang
040506,Ou Ruessei,Kampong Tralach,Kampong Chhnang
040510,Thma Edth,Kampong Tralach,Kampong Chhnang
040601,Andoung Snay,Rolea B'ier,Kampong Chhnang
040602,Banteay Preal,Rolea B'ier,Kampong Chhnang
040608,Prasnoeb,Rolea B'ier,Kampong Chhnang
040706,Svay,Sameakki Mean Chey,Kampong Chhnang
040805,Khlong Popok,Tuek Phos,Kampong Chhnang
040808,Tuol Khpos,Tuek Phos,Kampong Chhnang
050105,Pheari Mean Chey,Basedth,Kampong Speu
050110,Svay Chacheb,Basedth,Kampong Speu
050115,Preah Khae,Basedth,Kampong Speu
050204,Sopoar Tep,Chbar Mon,Kampong Speu
050205,Svay Kravan,Chbar Mon,Kampong Speu
050301,Angk Popel,Kong Pisei,Kampong Speu
050312,Tuek L'ak,Kong Pisei,Kampong Speu
050401,Haong Samnam,Aoral,Kampong Speu
050402,Reaksmei Sameakki,Aoral,Kampong Speu
050405,Ta Sal,Aoral,Kampong Speu
050502,Cheung Roas,Odongk,Kampong Speu
050503,Chumpu Proeks,Odongk,Kampong Speu
050506,Mean Chey,Odongk,Kampong Speu
050507,Preah Srae,Odongk,Kampong Speu
050509,Trach Tong,Odongk,Kampong Speu
050513,Damnak Reang,Odongk,Kampong Speu
050514,Peang Lvea,Odongk,Kampong Speu
050602,Choam Sangkae,Phnum Sruoch,Kampong Speu
