HF_ID,HF_CODE,NAME_KH,NAME_EN,PRO_CODE,PRO_NAME_KH,PRO_NAME_EN,DIS_CODE,DIS_NAME_KH,DIS_NAME_EN,OD_CODE,OD_NAME_KH,OD_NAME_EN,COM_CODE,COM_NAME_KH,COM__NAME_EN,VIL_CODE,VIL_NAME_KH,VIL__NAME_EN,OWNERSHIP,ACRONYM,HF_TYPE_EN,HF_TYPE_KH,HF_LEVEL,HF_HEAD,CONTACT_NO,CONTACT_EMAIL,HF_LAT,HF_LON,START_DATE,GOOGLE_MAP_LINK,STATUS
109086,010124,PH មន្ទីរពេទ្យខេត្តមិត្តភាពកម្ពុជាជប៉ុន,PH Cambodia-Japan Friendship,01,បន្ទាយមានជ័យ,Banteay Meanchey,0001,បន្ទាយមានជ័យ,Banteay Meanchey,0001,បន្ទាយមានជ័យ,Banteay Meanchey,000001,ឫស្សីក្រោក,Ruessei Kraok,01020914,កោះកែវ,Kaoh Kaev,DPHI (GPS),PH,Provincial Hospital,មន្ទីរពេទ្យខេត្ត,CPA3,លោកវេជ្ជ.ទុ បារាំង,885 17 923 346,NA,13.5438475863721,103.024521171145,01/08/2009,,Operational
966193,100212,HC អូរគ្រៀង,HC Ou Krieng,10,ក្រចេះ,Kratie,1007,អូរគ្រៀងសែនជ័យ,O'Krieng Senchey,1002,ក្រចេះ,Kratie,100702,អូរគ្រៀង,Ou Krieng,10070204,អូរគ្រៀង,Ou Krieng,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,សំ សូដាលី,855 973808070,NA,13.0271139015351,106.180663095058,01/01/2006,,Operational
102660,100215,HC រលួស,HC Rolours,10,ក្រចេះ,Kratie,1007,អូរគ្រៀងសែនជ័យ,O'Krieng Senchey,1002,ក្រចេះ,Kratie,100704,រលួសមានជ័យ,Roluos Mean Chey,10070402,ស្រែរលួស,Srae Roluos,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ម៉ៅ វួចហេង,855 978372003,NA,12.95999533,106.3917238,01/01/2006,,Operational
511353,100236,HC ក្បាលដំរី,HC Kbal Domrei,10,ក្រចេះ,Kratie,1007,អូរគ្រៀងសែនជ័យ,O'Krieng Senchey,1002,ក្រចេះ,Kratie,100701,ក្បាលដំរី,Kbal Domrei,10070103,អូរតាណឹង,O'ta Neong,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ប៊ុន ស៊ីថា,855 889240444,NA,12.8431784242204,106.176462003278,01/02/2021,,Operational
913504,100237,HC ស្រែជិះ,HC Srae Chis,10,ក្រចេះ,Kratie,1007,អូរគ្រៀងសែនជ័យ,O'Krieng Senchey,1002,ក្រចេះ,Kratie,100705,ស្រែជិះ,Srae Chis,10070505,ស្រែជិះ,Srae Chis,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ចាន់ រចនា,855 887222720,NA,12.9403639615813,106.468532366583,01/02/2021,,Operational
054325,100307,HC គ្រញូងសែនជ័យ,HC Kror nhoung Sen Chey,10,ក្រចេះ,Kratie,1005,ស្នួល,Snuol,1003,ស្នួល,Snoul,100506,គ្រញូងសែនជ័យ,Kronhoung Saen Chey,10050605,សែនអភិវឌ្ឍន៍,Sen Akphivoadth,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ម៉ែន តុងថេង,855 972644599,NA,12.1302090645512,106.756772962567,01/01/2020,,Operational
622354,110122,HC ស្រែឈូក,HC Srae Chhouk,11,មណ្ឌលគីរី,Mondul Kiri,1103,អូររាំង,Ou Reang,1101,សែនមនោរម្យ,Sen Monorom,110198,ស្រែឈូក,Srae Chhouk,11020197,ចក់ចារ,Chork Cha,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ពេ ញ៉ាស្រី,855 90712255,None,12.3639052680959,106.730478259518,01/01/2023,,Operational
158638,110123,HC ស្រែអំពូម,HC Srae Ampom,11,មណ្ឌលគីរី,Mondul Kiri,1103,អូររាំង,Ou Reang,1101,សែនមនោរម្យ,Sen Monorom,110199,ស្រែអំពូម,Srae Ampom,11020198,ពូក្រូច,Pu Kroch,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,សុន វិសាល,855 69870301,None,12.5487009680546,107.340423546323,01/01/2023,,Operational
936515,110124,HC ពាមជីមៀត,HC Peam Chimeat,11,មណ្ឌលគីរី,Mondul Kiri,1103,អូររាំង,Ou Reang,1101,សែនមនោរម្យ,Sen Monorom,110200,ណងឃីលិក,Nang Khi Lik,11020199,ពាមជីមៀត,Peam Chimeat,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,សន ប៊ុនសឺន,855 886689333,None,13.2777386215983,107.147512382778,01/01/2023,,Operational
618505,120301,RH មន្ទីរពេទ្យបង្អែកពោធិ៍ចិនតុង,RH Po Chentong,12,ភ្នំពេញ,Phnom Penh,1209,ពោធិ៍សែនជ័យ,Por SenChey,1203,ពោធិសែនជ័យ,Por Senchey,120917,កាកាបទី១,Kakab 1,12091703,តាងួន១,Ta Nguon 1,DPHI (GPS),RH,Referral Hospital,មន្ទីរពេទ្យបង្អែកស្រុក,,អ៊ុក ណារិទ្ធ,855 12853013/855 966188350,ouk.Nonerith92@yahoo.com,11.5605214415211,104.848476324937,01/01/2006,https://maps.app.goo.gl/yetb3yXRbM7BJW2eA,Operational
