HF_ID,HF_CODE,NAME_KH,NAME_EN,PRO_CODE,PRO_NAME_KH,PRO_NAME_EN,DIS_CODE,DIS_NAME_KH,DIS_NAME_EN,OD_CODE,OD_NAME_KH,OD_NAME_EN,COM_CODE,COM_NAME_KH,COM__NAME_EN,VIL_CODE,VIL_NAME_KH,VIL__NAME_EN,OWNERSHIP,ACRONYM,HF_TYPE_EN,HF_TYPE_KH,HF_LEVEL,HF_HEAD,CONTACT_NO,CONTACT_EMAIL,HF_LAT,HF_LON,START_DATE,GOOGLE_MAP_LINK,STATUS
109086,010124,PH មន្ទីរពេទ្យខេត្តមិត្តភាពកម្ពុជាជប៉ុន,PH Cambodia-Japan Friendship,01,បន្ទាយមានជ័យ,Banteay Meanchey,0001,បន្ទាយមានជ័យ,Banteay Meanchey,0001,បន្ទាយមានជ័យ,Banteay Meanchey,000001,ឫស្សីក្រោក,Ruessei Kraok,01020914,កោះកែវ,Kaoh Kaev,DPHI (GPS),PH,Provincial Hospital,មន្ទីរពេទ្យខេត្ត,CPA3,លោកវេជ្ជ.ទុ បារាំង,885 17 923 346,NA,13.5438475863721,103.024521171145,01/08/2009,,Operational
966193,100212,HC អូរគ្រៀង,HC Ou Krieng,10,ក្រចេះ,Kratie,1007,អូរគ្រៀងសែនជ័យ,O'Krieng Senchey,1002,ក្រចេះ,Kratie,100702,អូរគ្រៀង,Ou Krieng,10070204,អូរគ្រៀង,Ou Krieng,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,សំ សូដាលី,855 973808070,NA,13.0271139015351,106.180663095058,01/01/2006,,Operational
102660,100215,HC រលួស,HC Rolours,10,ក្រចេះ,Kratie,1007,អូរគ្រៀងសែនជ័យ,O'Krieng Senchey,1002,ក្រចេះ,Kratie,100704,រលួសមានជ័យ,Roluos Mean Chey,10070402,ស្រែរលួស,Srae Roluos,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ម៉ៅ វួចហេង,855 978372003,NA,12.95999533,106.3917238,01/01/2006,,Operational
511353,100236,HC ក្បាលដំរី,HC Kbal Domrei,10,ក្រចេះ,Kratie,1007,អូរគ្រៀងសែនជ័យ,O'Krieng Senchey,1002,ក្រចេះ,Kratie,100701,ក្បាលដំរី,Kbal Domrei,10070103,អូរតាណឹង,O'ta Neong,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ប៊ុន ស៊ីថា,855 889240444,NA,12.8431784242204,106.176462003278,01/02/2021,,Operational
913504,100237,HC ស្រែជិះ,HC Srae Chis,10,ក្រចេះ,Kratie,1007,អូរគ្រៀងសែនជ័យ,O'Krieng Senchey,1002,ក្រចេះ,Kratie,100705,ស្រែជិះ,Srae Chis,10070505,ស្រែជិះ,Srae Chis,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ចាន់ រចនា,855 887222720,NA,12.9403639615813,106.468532366583,01/02/2021,,Operational
532355,120303,HC កំបូល,HC Kambol,12,ភ្នំពេញ,Phnom Penh,1214,កំបូល,Kamboul,1203,ពោធិសែនជ័យ,Por Senchey,121409,កំបូល,Kamboul,12140901,ផ្សារកំបូល,Phsar Kamboul,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ពេជ្រ វីរះ,855 12281914,pichsokha68@gmail.com,11.5232604068228,104.783080729465,01/01/2006,https://maps.app.goo.gl/BcTZi116pGrz2RxT8,Operational
245030,120304,HC ស្នោរ,HC Snor,12,ភ្នំពេញ,Phnom Penh,1214,កំបូល,Kamboul,1203,ពោធិសែនជ័យ,Por Senchey,121404,ស្នោរ,Snaor,12140416,ទួលលៀប,Tuol Lieb,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ឡេង ចាន់ធូ,855 98 269908,sophanny2015@gmail.com,11.573780098364,104.758955566751,01/01/2006,https://maps.app.goo.gl/w8skszom54d6UDRx9,Operational
851168,120306,HC បឹងធំ,HC Boeng Thom,12,ភ្នំពេញ,Phnom Penh,1214,កំបូល,Kamboul,1203,ពោធិសែនជ័យ,Por Senchey,1214082,បឹងធំ,Boeng Thum,121408209,ខ្ចៅ,Khchau,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,សុខ សុវណ្ណរ័ត្ន,855 98764563,soksovannroath@gmail.com,11.4727051761957,104.760658450155,02/07/2012,https://maps.app.goo.gl/Ar4oF5UVv7zkm2NaA,Operational
933440,120308,HC ឪឡោក,HC Oev Lork,12,ភ្នំពេញ,Phnom Penh,1214,កំបូល,Kamboul,1203,ពោធិសែនជ័យ,Por Senchey,121403,ឪឡោក,Ovlaok,12140306,ត្រពាំងពោធិ៍,Trapeang Pou,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,រុន រតនា,855 17588388,rathana.run88@gmail.com,11.566011,104.753846,01/01/2019,https://maps.app.goo.gl/bVFG4xv6ogrYoQpJ6,Operational
895925,120309,HC ប្រទះឡាង,HC Brateaslang,12,ភ្នំពេញ,Phnom Penh,1214,កំបូល,Kamboul,1203,ពោធិសែនជ័យ,Por Senchey,121407,ប្រទះឡាង,Proteas Lang,12140702,ភា,Phea,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ញឹម ស៊ីណាត,855 966240251,None,11.4650408469955,104.793391124699,01/01/2023,https://maps.app.goo.gl/F4vVN9vyZToMbgBt9,Operational
