HF_ID,HF_CODE,NAME_KH,NAME_EN,PRO_CODE,PRO_NAME_KH,PRO_NAME_EN,DIS_CODE,DIS_NAME_KH,DIS_NAME_EN,OD_CODE,OD_NAME_KH,OD_NAME_EN,COM_CODE,COM_NAME_KH,COM__NAME_EN,VIL_CODE,VIL_NAME_KH,VIL__NAME_EN,OWNERSHIP,ACRONYM,HF_TYPE_EN,HF_TYPE_KH,HF_LEVEL,HF_HEAD,CONTACT_NO,CONTACT_EMAIL,HF_LAT,HF_LON,START_DATE,GOOGLE_MAP_LINK,STATUS
402559,010324,HC បុស្បូវ,HC Bos Sbov,01,បន្ទាយមានជ័យ,Banteay Meanchey,0104,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,010409,បុស្សស្បូវ,Bos Sbov,01040904,បុស្សស្បូវ,Bos Sbov,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,ទី ដាម,885 92 772  778,NA,13.6442823883665,103.044337499642,01/01/2006,,Operational
247217,010324,HC បុស្បូវ,HC Bos Sbov,01,បន្ទាយមានជ័យ,Banteay Meanchey,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,010409,បុស្សស្បូវ,Bos Sbov,01040904,បុស្សស្បូវ,Bos Sbov,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,លោក.ទី ដាម,885 92 772  778,NA,13.6442823883665,103.044337499642,01/01/2006,,Operational
952178,010507,HC អូរអំបិល,HC Ou Ambel,01,បន្ទាយមានជ័យ,Banteay Meanchey,0106,សិរីសោភ័ណ,Serei Saophoan,0106,សិរីសោភ័ណ,Serei Saophoan,010605,អូរអំបិល,Ou Ambel,01060505,អូរអំបិល,Ou Ambel,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,លោកស្រី.ទី ធុ,855 12961424,tithouk23@gmail.com,13.5869804,102.9534009,01/10/2022,,Operational
927151,010507,HP ពន្ធធនាគារ,HP Punterniekea,01,បន្ទាយមានជ័យ,Banteay Meanchey,0106,សិរីសោភ័ណ,Serei Saophoan,0106,សិរីសោភ័ណ,Serei Saophoan,010608,ទឹកថ្លា,Tuek Thla,,ទំនប់ជ្រៃ,Tumnob Chrey,DPHI (GPS),HP,Health Post,ប៉ុស្តសុខភាព,,លោក.អូ សុធី,885 12 340 333,?,,,,,
445067,040122,HC ព្រៃមូល,HC Prey Moul,04,កំពង់ឆ្នាំង,Kampong Chhnang,0406,រលាប្អៀរ,Rolea B'ier,0401,កំពង់ឆ្នាំង,Kampong Chhnang,040609,ព្រៃមូល,Prey Mul,04060903,ប្រចាក់,Prachak,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ហាស ប៊ុនហាន,855 12654212/855 16405022,None,12.15363888,104.5987421,01/02/2015,,Operational
665172,040122,HP ពន្ធនាគារខេត្ត,HP Pontheakea,04,កំពង់ឆ្នាំង,Kampong Chhnang,0406,រលាប្អៀរ,Rolea B'ier,0401,កំពង់ឆ្នាំង,Kampong Chhnang,040609,ព្រៃមូល,Prey Mul,04060904,ត្រពាំងក្រវ៉ាន់,,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ហាស ប៊ុនហាន,855 12654212/855 16405022,None,,,,,Operational
804713,040124,HC គោកបន្ទាយ,HC Kouk Banteay,04,កំពង់ឆ្នាំង,Kampong Chhnang,0406,រលាប្អៀរ,Rolea B'ier,0401,កំពង់ឆ្នាំង,Kampong Chhnang,040605,គោកបន្ទាយ,Kouk Banteay,04060503,មានជ័យ,Mean Chey,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,យ៉ែម ផល្លា,855 77939380,None,,,,,Operational
747286,040124,HP កងមាស,HP Kang Meas,04,កំពង់ឆ្នាំង,Kampong Chhnang,0406,រលាប្អៀរ,Rolea B'ier,0401,កំពង់ឆ្នាំង,Kampong Chhnang,040605,គោកបន្ទាយ,Kouk Banteay,04060507,កងមាស,Kang Meas,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,យ៉ែម ផល្លា,855 77939380,None,12.1598778407388,104.768941039104,18-01-2013,,Operational
635633,040213,HC ពាម,HC Peam,04,កំពង់ឆ្នាំង,Kampong Chhnang,0407,សាមគ្គីមានជ័យ,Sameakki Mean Chey,0402,កំពង់ត្រឡាច,Kampong Tralach,040704,ពាម,Peam,04070401,តាំងពោន,Tang Poun,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,អ៊ុន គឹមលាង,855 316111777/855 12825773,None,11.7444222,104.5431236,09/01/2013,,Operational
059241,040213,HP សុខសែនជ័យ,HP,04,កំពង់ឆ្នាំង,Kampong Chhnang,0407,សាមគ្គីមានជ័យ,Sameakki Mean Chey,0402,កំពង់ត្រឡាច,Kampong Tralach,040704,ពាម,Peam,04070413,សុខសែនជ័យ,,,HP,Health Post,ប៉ុស្តិ៍សុខភាព,,អ៊ុន គឹមលាង,855 316111777/855 12825773,None,,,,,
