HF_ID,HF_CODE,NAME_KH,NAME_EN,PRO_CODE,PRO_NAME_KH,PRO_NAME_EN,DIS_CODE,DIS_NAME_KH,DIS_NAME_EN,OD_CODE,OD_NAME_KH,OD_NAME_EN,COM_CODE,COM_NAME_KH,COM__NAME_EN,VIL_CODE,VIL_NAME_KH,VIL__NAME_EN,OWNERSHIP,ACRONYM,HF_TYPE_EN,HF_TYPE_KH,HF_LEVEL,HF_HEAD,CONTACT_NO,CONTACT_EMAIL,HF_LAT,HF_LON,START_DATE,GOOGLE_MAP_LINK,STATUS
402559,010324,HC បុស្បូវ,HC Bos Sbov,01,បន្ទាយមានជ័យ,Banteay Meanchey,0104,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,010409,បុស្សស្បូវ,Bos Sbov,01040904,បុស្សស្បូវ,Bos Sbov,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,ទី ដាម,885 92 772  778,NA,13.6442823883665,103.044337499642,01/01/2006,,Operational
247217,010324,HC បុស្បូវ,HC Bos Sbov,01,បន្ទាយមានជ័យ,Banteay Meanchey,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,010409,បុស្សស្បូវ,Bos Sbov,01040904,បុស្សស្បូវ,Bos Sbov,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,លោក.ទី ដាម,885 92 772  778,NA,13.6442823883665,103.044337499642,01/01/2006,,Operational
061421,010322,HC ពន្លៃ២,HC Ponley,01,បន្ទាយមានជ័យ,Banteay Meanchey,0103,ភ្នំស្រុក,Phnum Srok,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,010303,ពន្លៃ,Ponley,01030302,ពន្លៃជើង,Ponley Cheung,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,លោក.ព្លិញ សារាយ,885 12 348  971,NA,13.8122217139805,103.185695592809,01/01/2006,,Operational
585696,010312,HC ពន្លៃ,HC Ponley,01,បន្ទាយមានជ័យ,Banteay Meanchey,0103,ភ្នំស្រុក,Phnum Srok,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,010303,ពន្លៃ,Ponley,01030301,តាវង,Ta Vong,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,លោកស្រី.សយ សៅឌី,885  8345  345,NA,13.7683543071776,103.230368754423,01/01/2006,,Operational
868274,010314,HP កូនខ្លែង,HP Kuon Klaeng,01,បន្ទាយមានជ័យ,Banteay Meanchey,0103,ភ្នំស្រុក,Phnum Srok,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,010302,ប៉ោយចារ,Poy Char,01030202,ប៉ោយចារ,Poy Char,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,លោកស្រី វៀន ម៉ូរតនា,885 88 553 93 89,NA,13.9092907815627,103.299629077871,01/03/2018,,Operational
145994,,HP ការ៉េ២,HP Kuon Klaeng,01,បន្ទាយមានជ័យ,Banteay Meanchey,0103,ភ្នំស្រុក,Phnum Srok,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,010302,ប៉ោយចារ,Poy Char,01030202,ប៉ោយចារ,Poy Char,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,លោក.ហាយ ប៊ុនឬទ្ធិ,855 87 444 422,NA,13.9092907815627,103.299629077871,01/03/2018,,Operational
527944,,HP ព្រៃស្ពឺ,HP Prey Speu,12,ភ្នំពេញ,Phnom Penh,1209,ពោធិ៍សែនជ័យ,Pur SenChey,1203,ពោធិសែនជ័យ,Por Senchey,120915,ចោមចៅទី២,Chaom Chau 2,12091509,ព្រៃស្ពឺ,Prey Spueu,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ស៊ីម ធីតា,855 12996631,simthida@gmail.com,11.505006530494,104.828026057918,2017,https://maps.app.goo.gl/tk4s2XcyHzFypxP27,Operational
310693,NA,HP ព្រៃស្ពឺ,HP Prey Speu,12,ភ្នំពេញ,Phnom Penh,1209,ពោធិ៍សែនជ័យ,Pur SenChey,1203,ពោធិសែនជ័យ,Por Senchey,120915,ចោមចៅទី២,Chaom Chau 2,12091509,ព្រៃស្ពឺ,Prey Spueu,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,មិញ សុវណ្ណា,855 12250790,None,11.505006530494,104.828026057918,2017,,Operational
585402,NA,HP អន្លង់គង,HP Anlong Korng,12,ភ្នំពេញ,Phnom Penh,1205,ដង្កោ,Dangkao,1206,ដង្កោ,Dang Koa,120510,ព្រៃស,Prey Sa,12051006,អន្លង់គង,Anlong Kong,DPHI (Google Map),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ស៊ុន ស៊ីម,855 93 356 899,sunsim201712345@gmail.com,11.488791,104.871927,2000,,Operational
045771,NA,HP អន្លង់គង,HP Anlong Korng,12,ភ្នំពេញ,Phnom Penh,1205,ដង្កោ,Dangkao,1206,ដង្កោ,Dang Koa,120510,ព្រៃស,Prey Sa,12051006,អន្លង់គង,Anlong Kong,DPHI (Google Map),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,សំ ហ៊ស់,855 78785 877,None,11.488791,104.871927,2000,,Operational
