HF_ID,HF_CODE,NAME_KH,NAME_EN,PRO_CODE,PRO_NAME_KH,PRO_NAME_EN,DIS_CODE,DIS_NAME_KH,DIS_NAME_EN,OD_CODE,OD_NAME_KH,OD_NAME_EN,COM_CODE,COM_NAME_KH,COM__NAME_EN,VIL_CODE,VIL_NAME_KH,VIL__NAME_EN,OWNERSHIP,ACRONYM,HF_TYPE_EN,HF_TYPE_KH,HF_LEVEL,HF_HEAD,CONTACT_NO,CONTACT_EMAIL,HF_LAT,HF_LON,START_DATE,GOOGLE_MAP_LINK,STATUS
612508,080213,HC អរីយក្សត្រ,HC Arey Khsat,08,កណ្ដាល,Kandal,0806,អរិយក្សត្រ,Arey Khsat,0809,ល្វាឯម,Lvea Em,080601,អរិយក្សត្រ,HC Arey Khsat,08060102,ខ្សាច់,Khsach,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ទៀង មករា,969200710,NA,11.5556918203932,104.979018108887,01/01/2006,,Operational
674988,080214,HC សារិកាកែវ,HC Sarikakeo,08,កណ្ដាល,Kandal,0806,អរិយក្សត្រ,Arey Khsat,0809,ល្វាឯម,Lvea Em,080613,សារិកាកែវ,HC Sarikakeo,08061302,ក្ដីកណ្ដាល,Kdei Kandal,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,អៀង ចណ្ណាលីន,17278387,NA,11.555440462245,105.007581074271,01/01/2006,,Operational
160035,080215,HC ពាមឧកញ៉ាអុង,HC Peam Oknha Ong,08,កណ្ដាល,Kandal,0806,អរិយក្សត្រ,Arey Khsat,0809,ល្វាឯម,Lvea Em,080607,ពាមឧកញ៉ាអុង,HC Peam Oknha Ong,08060703,ព្រែកតាអុងទី២,Preaek Ta Ong Ti Pir,DPHI (GPS),HC,Health Center with beds,មណ្ឌលសុខភាពមានគ្រែ,,ខន សុខា,976254109,NA,11.5446564313615,105.036019988094,01/01/2006,,Operational
800666,080216,HC ទឹកឃ្លាំង,HC Toeuk Khlaing,08,កណ្ដាល,Kandal,0806,ល្វាឯម,Lvea Em,0809,ល្វាឯម,Lvea Em,080615,ទឹកឃ្លាំង,HC Toeuk Khlaing,08061502,សំរោង,Samraong,DPHI (GPS),HC,Health Center with beds,មណ្ឌលសុខភាពមានគ្រែ,,លី សុពណ៏,12398225,NA,11.49393646893,105.140135797457,01/01/2006,,Operational
563103,080217,HC កោះកែវ,HC Koh Keo,08,កណ្ដាល,Kandal,0806,ល្វាឯម,Lvea Em,0809,ល្វាឯម,Lvea Em,080612,សំបួរ,HC Koh Keo,08061201,សំបួរ,Sambuor,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ផុន ស្រីនាថ,10587807,NA,11.4360627577555,105.239857776666,01/01/2006,,Operational
596656,080218,HC ព្រែកឬស្សី,HC Prek Russey,08,កណ្ដាល,Kandal,0806,ល្វាឯម,Lvea Em,0809,ល្វាឯម,Lvea Em,080611,ព្រែកឫស្សី,HC Prek Russey,08061103,ព្រែកឫស្សី,Preaek Ruessei,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ខុម សូវឿន,93800972,NA,11.4512183723996,105.253854339449,01/01/2006,,Operational
687600,080220,HC ភូមិធំសុខសប្បាយ,HC Phumthom Soksabay,08,កណ្ដាល,Kandal,0806,អរិយក្សត្រ,Arey Khsat,0809,ល្វាឯម,Lvea Em,080608,ភូមិធំ,HC Phumthom Soksabay,08060802,ព្រែកក្រូច,Preaek Krouch,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ជា នឿន,81362023,NA,11.5308607007487,105.157127080376,01/10/2009,,Operational
593713,080221,HC បារុង,HC Barong,08,កណ្ដាល,Kandal,0806,ល្វាឯម,Lvea Em,0809,ល្វាឯម,Lvea Em,080602,បារុង,HC Barong,08060202,បារុង,Barong,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ទឹង ប៊ុនធី,98678969,NA,11.6091747088167,105.054555028319,01/06/2010,,Operational
371392,080222,HC ព្រែករៃ,HC Prek Rey,08,កណ្ដាល,Kandal,0806,ល្វាឯម,Lvea Em,0809,ល្វាឯម,Lvea Em,080610,ព្រែករៃ,HC Prek Rey,08061001,ព្រែករៃ,Preaek Rey,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,កែវ សុផៃ,888677567,NA,11.526646803894,105.14064978582,11/02/2012,,Operational
297437,080223,HC កោះរះ,HC Koh Rah,08,កណ្ដាល,Kandal,0806,ល្វាឯម,Lvea Em,0809,ល្វាឯម,Lvea Em,080605,កោះរះ,HC Koh Rah,08060501,កោះរះលើ,Kaoh Reah Leu,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ជា ចាន់ទី,92593525,NA,11.5396784781931,105.059572986179,13/02/2012,,Operational
830399,080224,HC ល្វាស,HC Lvea Sor,08,កណ្ដាល,Kandal,0806,ល្វាឯម,Lvea Em,0809,ល្វាឯម,Lvea Em,080606,ល្វាសរ,HC Lvea Sor,08060601,ល្វាសរលើ,Lvea Sar Leu,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,កែវ សុភ័ក្ត្រណា,93684312,chim_bopha@yahoo.com,11.4533666734136,105.195303298449,13/02/2012,,Operational
864749,080605,HC កំពង់លួង,HC Kampong Luong,08,កណ្ដាល,Kandal,0809,ពញាឮ,Ponhea Lueu,0806,ពញាឮ,Ponhea Leu,080903,HC កំពង់លួង,HC Kampong Luong,08090303,ពោធិ៍តូច,Pou Touch,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ហ៊ុយ សំភាស់(ប),NA,NA,11.8253159206705,104.799932699885,01/01/2006,,Operational
397059,080606,HC វិហារលួង,HC Vihea Luong,08,កណ្ដាល,Kandal,0809,ពញាឮ,Ponhea Lueu,0806,ពញាឮ,Ponhea Leu,080914,HC វិហារលួង,HC Vihea Luong,08091412,ចតុទិស,Chakto Tis,DPHI (GPS),HC,Health Center with beds,មណ្ឌលសុខភាពមានគ្រែ,,កងសេងវិចិត្រ(ប),NA,NA,11.8236976241411,104.764977868532,01/01/2006,,Operational
325819,080607,HC ភ្នំបាត,HC Phnom Bath,08,កណ្ដាល,Kandal,0809,ពញាឮ,Ponhea Lueu,0806,ពញាឮ,Ponhea Leu,080906,HC ភ្នំបាត,HC Phnom Bath,08090601,ពោធិ៍រ៉ាល,Pou Ral,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ឡាយ ពុទ្ធី​(ប),NA,NA,11.7879771585144,104.778035702264,01/01/2006,,Operational
328298,080608,HC ពញាឮ,HC Ponhea Leu,08,កណ្ដាល,Kandal,0809,ពញាឮ,Ponhea Lueu,0806,ពញាឮ,Ponhea Leu,080907,HC ពញាឮ,HC Ponhea Leu,08090701,ទួលអំពិល,Tuol Ampil,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,កងសេងមករា(ស),NA,NA,11.7866137896366,104.821891022302,01/01/2006,,Operational
655615,080609,HC ជ្រៃលាស់,HC Chrey Loas,08,កណ្ដាល,Kandal,0809,ពញាឮ,Ponhea Lueu,0806,ពញាឮ,Ponhea Leu,080902,HC ជ្រៃលាស់,HC Chrey Loas,08090207,តាគោ,Ta Kou,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ពុំ ស្រីពេជ្រ(ស),NA,NA,11.7279739203315,104.787770274204,01/01/2006,,Operational
470384,080610,HC ទំនប់ធំ,HC Tumnup Thom,08,កណ្ដាល,Kandal,0809,ពញាឮ,Ponhea Lueu,0806,ពញាឮ,Ponhea Leu,080913,HC ទំនប់ធំ,HC Tumnup Thom,08091303,ស្ពានទំលាប់,Spean Tumloab,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ពាង រតនៈ (ប),NA,NA,11.6982527898768,104.709589991882,01/01/2006,,Operational
536923,080611,HC កោះចិន,HC Koh Chen,08,កណ្ដាល,Kandal,0809,ពញាឮ,Ponhea Lueu,0806,ពញាឮ,Ponhea Leu,080905,HC កោះចិន,HC Koh Chen,08090504,ព្រែកក្ដាម១,Preaek Kdam Muoy,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ញ៉ឹក សុខុន(ប),NA,NA,11.8197259595664,104.810626449877,01/01/2006,,Operational
331940,080630,HC កំពង់អុស,HC Kampong Oss,08,កណ្ដាល,Kandal,0809,ពញាឮ,Ponhea Lueu,0806,ពញាឮ,Ponhea Leu,080904,HC កំពង់អុស,HC Kampong Oss,08090402,ព្រែកតាមែ,Preaek Ta Meae,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,យូ វុទ្ធី (ប),NA,NA,11.7885975688928,104.827735767534,01/03/2013,,Operational
349637,080631,HC ឈ្វាំង,HC Chvaing,08,កណ្ដាល,Kandal,0809,ពញាឮ,Ponhea Lueu,0806,ពញាឮ,Ponhea Leu,080901,HC ឈ្វាំង,HC Chvaing,08090105,ឈ្វាំង,Chhveang,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ប្រាំង ភារុណ(ប),NA,NA,11.6779858495275,104.7812115004,01/03/2013,,Operational
655485,080632,RH មន្ទីរពេទ្យបង្អែកពញាឮ,RH Ponhea Leu,08,កណ្ដាល,Kandal,0809,ពញាឮ,Ponhea Lueu,0806,ពញាឮ,Ponhea Leu,080914,RH មន្ទីរពេទ្យបង្អែកពញាឮ,RH Ponhea Leu,08091412,ចតុទិស,Chakto Tis,DPHI (GPS),RH,Referral Hospital,មន្ទីរពេទ្យបង្អែកស្រុក,,សុខធន (ប),NA,NA,11.8236057367257,104.765254202393,01/05/2016,,Operational
