commune_name,commune_count,commune_codes
Samraong,9,010505 | 031311 | 121103 | 141309 | 150407 | 171109 | 210708 | 210910 | 220404
Mean Chey,5,020906 | 031405 | 060605 | 070311 | 170907
Prasat,4,010404 | 060707 | 081006 | 140309
Pongro,4,040607 | 060901 | 100107 | 220304
Sambour,4,030107 | 060503 | 100407 | 200413
Chrey,4,020204 | 020605 | 140304 | 141303
Chres,4,040503 | 070401 | 140502 | 200104
Svay Chrum,4,040612 | 081306 | 140507 | 200514
Popel,4,040109 | 171108 | 210909 | 250506
Ampil,4,030601 | 170910 | 200401 | 220201
Chheu Teal,4,020104 | 060601 | 080202 | 200507
Baray,4,031301 | 031401 | 060103 | 210801
Tuek Thla,3,010608 | 120802 | 141311
Kampong Svay,3,010602 | 060204 | 080204
Roluos,3,010808 | 120518 | 170908
Sambuor,3,010210 | 170606 | 211009
Kantuot,3,100604 | 130306 | 171302
Pong Tuek,3,120507 | 200307 | 230103
Roka,3,020804 | 080117 | 140811
Lvea,3,020403 | 031307 | 140907
Rumchek,3,140910 | 170304 | 250310
Sameakki,3,160606 | 180209 | 190404
Khvav,3,170404 | 210705 | 211004
Svay Rumpear,3,040408 | 050114 | 200711
Chambak,3,050601 | 200503 | 210201
Doung,3,060401 | 200407 | 210203
Trea,3,060813 | 210711 | 250211
Chhuk,3,060501 | 070304 | 250201
Tang Krasang,3,030110 | 040807 | 060708
Soeng,2,010501 | 210709
Svay Chek,2,010804 | 170204
Sla Kram,2,010803 | 171001
Ruessei Kraok,2,000001 | 010209
Bos Sbov,2,010409 | 220402
Ponley,2,010303 | 210104
Mkak,2,010604 | 080809
Preah Ponlea,2,010607 | 200204
Kanhchor,2,100105 | 150204
Thmei,2,100610 | 130403
Sandan,2,060607 | 100408
Dar,2,100603 | 250305
Snuol,2,100503 | 170608
Kampong Cham,2,030502 | 100402
Nang Khi Lik,2,110200 | 110201
Veal Vong,2,030504 | 120307
Kamboul,2,120203 | 121409
Trapeang Krasang,2,120901 | 210214
Krang Thnong,2,120807 | 210207
Yeang,2,130305 | 170716
Thma Pun,2,031313 | 140407
Tnaot,2,140408 | 200212
Prey Rumdeng,2,140505 | 210409
Prey Totueng,2,140506 | 141209
Kaoh Roka,2,030606 | 140604
Preaek Krabau,2,030706 | 140607
Lve,2,030803 | 141203
Rumlech,2,141210 | 150106
Prey Khla,2,141308 | 210503
Anlong Vil,2,020801 | 150201
Tnaot Chum,2,060117 | 150311
Svay Sa,2,150310 | 171404
Seda,2,160506 | 250105
Moung,2,020601 | 171204
Ballangk,2,060102 | 170903
Srangae,2,171010 | 211012
Tuek Vil,2,081016 | 171013
Kakaoh,2,020607 | 060704
Sdau,2,020701 | 030710
Kandieng Reay,2,200303 | 200703
Krasang,2,200410 | 220303
Krang Leav,2,040606 | 210206
Prambei Mum,2,050804 | 211005
Kampeaeng,2,210404 | 210605
Kampong Reab,2,030801 | 210606
Ph'av,2,030106 | 220502
Kor,2,031305 | 250707
Sralab,2,250601 | 250712
Kokir,2,080206 | 250307
Mien,2,031308 | 250405
Kak,2,050113 | 250502
Trapeang Pring,2,250105 | 250106
Bos Khnor,2,030201 | 030207
Ta Prok,2,030202 | 030208
Pralay,2,060809 | 090702
Dang Tong,2,070502 | 090402
Bek Chan,2,080801 | 080811
