HF_ID,HF_CODE,NAME_KH,NAME_EN,PRO_CODE,PRO_NAME_KH,PRO_NAME_EN,DIS_CODE,DIS_NAME_KH,DIS_NAME_EN,OD_CODE,OD_NAME_KH,OD_NAME_EN,COM_CODE,COM_NAME_KH,COM__NAME_EN,VIL_CODE,VIL_NAME_KH,VIL__NAME_EN,OWNERSHIP,ACRONYM,HF_TYPE_EN,HF_TYPE_KH,HF_LEVEL,HF_HEAD,CONTACT_NO,CONTACT_EMAIL,HF_LAT,HF_LON,START_DATE,GOOGLE_MAP_LINK,STATUS
406203,1702018,HC អំពិល,HC Ampil,17,សៀមរាប,Siemreap,1709,ប្រាសាទបាគង,Prasat Bakong,1702,សៀមរាប,Siem Reap,170910,អំពិល,Ampil,17091007,បង្កោង,Bangkaong,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,NA,None,None,13.4063967113036,103.988757835049,01/04/2010,,Operational
446035,200205,HC អំពិល,HC Ampil,20,ស្វាយរៀង,Svay Rieng,2004,រមាសហែក,Romeas Haek,2002,រមាសហែក,Romeas Hek,200401,អំពិល,Ampil,20040107,អំពិល,Ampil,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,គង់ សុផាត,855 92 720 573,None,11.4597315670056,105.808035555866,01/01/2006,,Operational
061554,220116,HC អំពិល,HC Ampil,22,ឧត្តរមានជ័យ,Oddar Meanchey,2202,បន្ទាយអំពិល,Banteay Ampil,2201,សំរោង,Samraong,220201,អំពិល,Ampil,22020119,អំពិលថ្មី,Ampil Thmey,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ណាត គីនីន,855 978221586,None,14.2373845851584,103.126331623969,01/01/2006,,Operational
114321,030310,HC អំពិល,HC Ampil,03,កំពង់ចាម,Kampong Cham,0306,កំពង់សៀម,Kampong Siem,0303,កំពង់ចាម - កំពង់សៀម,Kampong Cham - Kg. Siem,030601,អំពិល,Ampil,03060101,អណ្ដូងច្រុះ,Andoung Chroh,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,សុខ វ៉ាន់ឌី,855 12759096,None,12.0248769906655,105.415293565872,01/01/2006,https://maps.app.goo.gl/mLNkHQexGWa3B7hJ8,Operational
754785,210305,HC បារាយណ៍,HC Baray,21,តាកែវ,Takeo,2108,ដូនកែវ,Doun Kaev,2103,ដូនកែវ,Daun Keo,210801,បារាយណ៍,Baray,21080111,ត្រពាំងលាក់,Trapeang Leak,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,យឹម សុវណ្ណ,855 17500910,None,11.012540476445,104.787835311805,01/01/2006,,Operational
723061,,HP គុក,HC Baray,21,តាកែវ,Takeo,2108,ដូនកែវ,Doun Kaev,2103,ដូនកែវ,Daun Keo,210801,បារាយណ៍,Baray,21080109,ត្រពាំងឬស្សី,Trapeang Ruessei,,,,,,,,,,,,,Operational
445908,030808,HC បារាយណ៍,HC Baray,03,កំពង់ចាម,Kampong Cham,0313,ព្រៃឈរ,Prey Chhor,0308,ព្រៃឈរ,Prey Chhor,031301,បារាយណ៍,Baray,03130102,ទួលចំបក់,Tuol Chambak,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,គិត្ត សេងហ៊ត់,855 11 784 278,None,12.0779362612875,105.246829633948,01/01/2006,https://maps.app.goo.gl/hnoZMrXXD6zLMgWD7,Operational
971080,030907,HC បារាយណ៍,HC Baray,03,កំពង់ចាម,Kampong Cham,0314,ស្រីសន្ធរ,Srei Santhor,0309,ស្រីសន្ធរ,Srey Santhor,031401,បារាយណ៍,Baray,03140103,បន្ទាយ,Banteay,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,អ៊ន់ ស៊ីម,855 12292189,None,11.8508385949635,105.195406345678,01/01/2006,https://maps.app.goo.gl/EYZDtPjd3h5VtZ1GA,Operational
305202,060114,HC បារាយណ៍,HC Baray,06,កំពង់ធំ,Kampong Thom,0601,បារាយណ៍,Baray,0601,បារាយណ៍សន្ទុក,Baray and Santuk,060103,បារាយណ៍,Baray,06010301,ក្រសាំងជ័យ,Krasang Chey,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ហេង ភន,855 965666561,NA,12.3955494945515,105.0858036543,01/01/2006,,Operational
402559,010324,HC បុស្បូវ,HC Bos Sbov,01,បន្ទាយមានជ័យ,Banteay Meanchey,0104,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,010409,បុស្សស្បូវ,Bos Sbov,01040904,បុស្សស្បូវ,Bos Sbov,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,ទី ដាម,885 92 772  778,NA,13.6442823883665,103.044337499642,01/01/2006,,Operational
247217,010324,HC បុស្បូវ,HC Bos Sbov,01,បន្ទាយមានជ័យ,Banteay Meanchey,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,010409,បុស្សស្បូវ,Bos Sbov,01040904,បុស្សស្បូវ,Bos Sbov,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,លោក.ទី ដាម,885 92 772  778,NA,13.6442823883665,103.044337499642,01/01/2006,,Operational
113742,220104,HC បុស្បូវ,HC Bos Sbov,22,ឧត្តរមានជ័យ,Oddar Meanchey,2204,សំរោង,Samraong,2201,សំរោង,Samraong,220402,បុស្បូវ,Bos Sbov,22040201,បុស្បូវ,Bos Sbov,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,វ៉ាញ ឯក,855 68529074,None,14.1357227958266,103.486214652009,01/01/2006,,Operational
545220,200321,HC ចក,HC Chak,20,ស្វាយរៀង,Svay Rieng,2003,រំដួល,Rumduol,2004,ស្វាយទាប,Svay Teap,200303,កំពង់ចក,Kampong Chak,20030301,ចក,Chak,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,សុខ ចន្ថារី,855 16951256,None,11.1631310566698,105.821273658574,01/01/2015,https://maps.app.goo.gl/t2sFMn8Dy75oPAmz5,Operational
153813,250504,HC ចក,HC Chak,25,ត្បូងឃ្មុំ,Tboung Khmum,2504,អូររាំងឪ,Ou Reang Ov,2505,អូររាំងឪ,O Reang Ov,250402,ចក,Chak,25040207,ចក,Chak,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,សុខ វ៉េត,012 967 433,sokveth33@ymail.com,11.7760924787999,105.596735705062,01/01/2006,https://maps.app.goo.gl/fZKAfSxopMYrWTKm7,Operational
800139,100102,HC ចំបក់,HC Chambak,10,ក្រចេះ,Kratie,1003,ព្រែកប្រសព្វ,Prek Prasab,1001,ឆ្លូង,Chhlong,100301,ចំបក់,Chambâk,10030101,ចំបក់ ១,Chambâk 1,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,យ៉ន សុពល,855 972605412,NA,12.2751806490777,105.810518405222,01/01/2006,,Operational
863317,200318,HC ចំបក់,HC Chambak,20,ស្វាយរៀង,Svay Rieng,2005,ស្វាយជ្រំ,Svay Chrum,2003,ស្វាយរៀង,Svay Rieng,200503,ចំបក់,Chambak,20050301,ថ្មី,Thmei,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,,,None,11.0610310986775,105.693531649006,,,Pending
938706,210203,HC ចំបក់,HC Chambak,21,តាកែវ,Takeo,2102,បាទី,Bati,2102,បាទី,Bati,210201,ចំបក់,Chambak,21020108,សីហា,Seiha,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ហូត​​​​​​​ សុខហេង,855 92817306,None,11.2353438857692,104.826549721881,01/01/2006,,Operational
262339,120408,HC ច្បារអំពៅ,HC Chbar Ampov,12,ភ្នំពេញ,Phnom Penh,1212,ច្បារអំពៅ,Chbar Ampov,1204,បាសាក់,Bassak,121201,ច្បារអំពៅទី ១,Chhbar Ampov Ti Muoy,12120102,ដើមម៉ាក់ក្លឿ,Daeum Meakkloea,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ស៊ុន ណារ៉ា,855 12852233,Narasun77@gmail.com,11.529935,104.936986,01/07/2014,https://maps.app.goo.gl/RQ82v7YQXAXu3EAB8?g_st=it,Operational
842357,030219,HC ច្បារអំពៅ,HC Chbar Ampov,03,កំពង់ចាម,Kampong Cham,0301,បាធាយ,Batheay,0312,បាធាយ,Batheay,030102,ច្បារអំពៅ,Chbar Ampov,03010202,ទួលច័ន្ទ,Toul Chan,Survey123 (WHO),HC,Health Center,មណ្ឌលសុខភាព,,ប៉ុន នាត,855 85658236,None,11.9179438,104.9723775,01/05/2020,https://maps.app.goo.gl/yGGTVjtJKhB4uYGv6,Operational
556402,020411,HC ឈើទាល,HC Chheu Teal,02,បាត់ដំបង,Battambang,0201,បាណន់,Banan,0204,បាត់ដំបង,Battambang,020104,ឈើទាល,Chheu Teal,02010407,បាយដំរាំ,Bay Damram,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ថាញ់ គឹមយៀត,855 12597689,None,12.9968392816013,103.160410492922,01/01/2006,https://maps.app.goo.gl/jZ4T1dJCkK9tWaF4A,Operational
532815,060218,HC ឈើទាល,HC Chheu Teal,06,កំពង់ធំ,Kampong Thom,0606,សណ្ដាន់,Sandan,0602,កំពង់ធំ,Kampong Thom,060601,ឈើទាល,Chheu Teal,06060103,កំពង់តាបែន,Kampong Ta Baen,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ហេង សុខឡេង,855 12249769,NA,13.0586492919017,105.235051888429,01/01/2006,,Operational
026349,080814,HC ឈើទាល,HC Chheu Teal,08,កណ្ដាល,Kandal,0812,កៀនស្វាយ,Kean Svay,0802,កៀនស្វាយ,Kean Svay,080202,ឈើទាល,Chheu Teal,08020201,ឬស្សីស្រុក,Ruessie Srok,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ម៉ៅ ណានី,095​ 369 933,NA,11.4665992320318,105.037771459258,01/01/2015,,Operational
865491,220118,HC ឈូក,HC Chhouk,22,ឧត្តរមានជ័យ,Oddar Meanchey,2202,បន្ទាយអំពិល,Banteay Ampil,2201,សំរោង,Samraong,220204,គោកមន,Kouk Mon,22020410,សិទ្ធសេរី,Sitserey,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,គុយ លីវឿន,855 975886803,None,14.2591005582789,103.271111772179,01/01/2006,,Operational
935931,060221,HC ឈូក,HC Chhouk,06,កំពង់ធំ,Kampong Thom,0605,ប្រាសាទសំបូរ,Prasat Sambour,0602,កំពង់ធំ,Kampong Thom,060501,ឈូក,Chhuk,06050104,ឈូកស្ទឹង,Chhuk Stueng,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,សេង សុផល,855 12544947,NA,12.8723606142415,105.12823958176,01/01/2006,,Operational
892696,070202,HC ឈូក,HC Chhouk,07,កំពត,Kampot,0703,ឈូក,Chhuk,0702,ឈូក,Chhouk,070304,ឈូក,Chhuk,07030402,ឈើទាល,Chheu Teal,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ពេជ្រ ច័ន្ទ,964991771,NA,10.8381156197948,104.456506325705,01/01/2006,,Operational
495880,140604,HC ច្រេស,HC Chres,14,ព្រៃវែង,Prey Veng,1405,មេសាង,Me Sang,1403,មេសាង,Mesang,140502,ច្រេស,Chres,14050210,ចន្ទ័គ្រឹស្នា,Chant Kruesna,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,NA,None,None,11.3403291423798,105.623713541162,01/01/2006,,Operational
206480,200111,HC ច្រេស,HC Chres,20,ស្វាយរៀង,Svay Rieng,2001,ចន្ទ្រា,Chantrea,2001,ជីភូ,Chi Phu,200104,ច្រេស,Chres,20010405,បន្លាស្អិត,Banla S'et,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,នូ សាំង,855 888594865,None,10.9510741525827,106.065329660607,01/07/2014,https://maps.app.goo.gl/xsXtbjP2dtP5vQZq6,Operational
785372,040216,HC ច្រេស,HC Chres,04,កំពង់ឆ្នាំង,Kampong Chhnang,0405,កំពង់ត្រឡាច,Kampong Tralach,0402,កំពង់ត្រឡាច,Kampong Tralach,040503,ច្រេស,Chres,04050312,ចក,Chak,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ហែន ភិនសុដានី,855 14235792/855 17954345,None,11.9498497086965,104.760878295496,01/07/2020,,Operational
093933,070215,HC ច្រេស,HC Chres,07,កំពត,Kampot,0704,ជុំគិរី,Chum Kiri,0702,ឈូក,Chhouk,070401,ច្រេស,Chres,07040104,ច្រេស,Chres,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ឃាង ស្រីស្រស់,0974100027,NA,10.91155,104.46749,01/01/2006,,Operational
363443,141204,HC ជ្រៃ,HC Chrey,14,ព្រៃវែង,Prey Veng,1413,ស្វាយអន្ទរ,Svay Antor,1407,ស្វាយអន្ទរ,Svay Antor,141303,ជ្រៃ,Chrey,14130313,ជ្រៃផ្សារ,Chrey Phsar,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,NA,None,None,11.5623380749944,105.526873663725,01/01/2006,,Operational
521299,020204,HC ជ្រៃ,HC Chrey,02,បាត់ដំបង,Battambang,0206,មោងឫស្សី,Moung Ruessei,0202,មោងឫស្សី,Maung Russei,020605,ជ្រៃ,Chrey,02060506,ជ្រៃ ២,Chrey Pir,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,រស់ ចន្ធូ,855 12637300/855 977475 165,None,12.7805517547955,103.473292815151,08/01/2006,https://goo.gl/maps/Ws4rHZjgFSQMke4E6,Operational
631691,020408,HC ជ្រៃ,HC Chrey,02,បាត់ដំបង,Battambang,0202,ថ្មគោល,Thma Koul,0204,បាត់ដំបង,Battambang,020204,ជ្រៃ,Chrey,02020407,ហៃសាន,Hai San,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,សួន អ៊ី,855 12237528,None,13.1099202010292,103.139706340079,01/01/2006,https://maps.app.goo.gl/j9fs9Xe23yECwGM49?g_st=atm,Operational
714377,120310,HC ដំណាក់ត្រយឹង,HC Damnak Trayeung,12,ភ្នំពេញ,Phnom Penh,1209,ពោធិ៍សែនជ័យ,Pur SenChey,1203,ពោធិសែនជ័យ,Por Senchey,120915,ចោមចៅទី២,Chaom Chau 2,12091504,ដំណាក់ត្រយឹង,Damnak Troryoeng,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ម៉ឺន រិទ្ធីគង់,855 89954944,rithykongmoeun@gmail.com,11.4974775912918,104.832825495639,29/11/2023,https://maps.app.goo.gl/3eL4rYhSsbRgm7Lu6,Operational
572856,NA,HC ដំណាក់ត្រយឹង,HC Damnak Trayeung,12,ភ្នំពេញ,Phnom Penh,1209,ពោធិ៍សែនជ័យ,Pur SenChey,1203,ពោធិសែនជ័យ,Por Senchey,000000,,,00000000,,,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,,,,11.4974775912918,104.832825495639,,,Operational
208176,150213,HC កំពង់លួង,HC Kampong Luong,15,ពោធិ៍សាត់,Pursat,1503,ក្រគរ,Krakor,1504,ក្រគរ,Krakor,150305,កំពង់លួង,Kampong Luong,15030504,ភូមិទី៤,Phum Ti Buon,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ខន ភារ៉ា,855 10 402 836,None,12.5626162960086,104.208325650734,01/01/2006,https://goo.gl/maps/M1h9pCHuTCjc3Qb2A,Operational
864749,080605,HC កំពង់លួង,HC Kampong Luong,08,កណ្ដាល,Kandal,0809,ពញាឮ,Ponhea Lueu,0806,ពញាឮ,Ponhea Leu,080903,HC កំពង់លួង,HC Kampong Luong,08090303,ពោធិ៍តូច,Pou Touch,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ហ៊ុយ សំភាស់(ប),NA,NA,11.8253159206705,104.799932699885,01/01/2006,,Operational
382099,210512,HC កំពង់រាប,HC Kampong Reab,21,តាកែវ,Takeo,2106,ព្រៃកប្បាស,Prey Kabbas,2105,ព្រៃកប្បាស,Prey Kabass,210606,កំពង់រាប,Kampong Reab,21060604,កំពង់លាវ,Kampong Leav,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,គុជ ធឿន,855 89954565,None,11.1619639302358,105.01910152395,01/01/2006,,Operational
