commune_code,conflicting_names,name_count
000000,Phatsanday | Samroang | TANG SAMROUNG | Trach Tong,4
010501,Changha | Soeng,2
010509,KutShort | Ou Beichoan | Poipet,3
010701,Banteay Chhmar | Rolous,2
010807,Kumrou | Treas,2
010901,Boeng Beng | Tuol Pongro,2
030102,Chbar Ampov | Mepring,2
030110,Chea Lea | Tang Krasang,2
030202,Chamkar Andoung | Ta Prok,2
030207,Bos Khnor | Ta Ong,2
060204,Kampong Svay | Prey Kuy,2
070108,Phnum Kong | Tani,2
070311,Mean Chey | Neareay,2
080202,Chheu Teal | Koh Anglung Chen,2
080318,Vihea Sour | Vihear Suor,2
080811,Bek Chan | Peuk,2
080914,HC Vihea Luong | RH Ponhea Leu,2
110201,Nang Khi Lik | Royoy,2
120518,Roluos | Spean Thmor,2
130302,Teuk Kraham | Tuek Kraham,2
130308,Morokot | Teuk kraham,2
170201,Chob Ta Trav | Kouk Chark,2
200303,Kampong Chak | Kandieng Reay,2
250105,Seda | Trapeang Pring,2
250208,Preaek A Chi | Tonlebet,2
250303,Chaom Kravien | Choam Kravien,2
250601,Sralab | Suong,2
