district_code,conflicting_names,name_count
0103,Doun Penh | Phnum Srok | Preah Net Preah,3
0104,Preah Net Preah | Preah Netr Preah,2
0105,Ou Chrov | Poipet,2
0108,Svay Chek | thmor  Puok,2
0302,Batheay | Chamkar Leu,2
0303,Batheay | Cheung Prey,2
0305,Kampong Cham | Kampong Siem,2
0608,Prasat Ballangk | Stoung,2
0802,Kean Svay | Kien Svay,2
0803,Akreiy Ksatr | Khsach Kandal,2
0806,Arey Khsat | Lvea Em,2
0810,S'ang | Ta Khmao,2
0812,Kean Svay | Ta Khmao,2
0813,Akreiy Ksatr | Khsach Kandal,2
1201,Boeung Keng Kang | Chamkar Mon,2
1202,Doun Penh | Kamboul,2
1209,Por SenChey | Pur SenChey,2
1214,Kamboul | Kombol,2
1303,Choam Ksant | Tbaeng Mean Chey,2
1409,Preah Sdach | Svay Antor,2
1413,Pearaing | Svay Antor,2
1701,Angkor Chum | Siem Reap,2
1710,Banteaysrey | Siem Reap,2
1801,Preah Sihanouk | Stueng Hav,2
2104,Bati | Kiri Vong,2
2106,Prey Kabass | Prey Kabbas,2
2301,Damnak Chang'aeur | Kaeb,2
2506,Suong | Tboung Khmum,2
