HF_ID,HF_CODE,NAME_KH,NAME_EN,PRO_CODE,PRO_NAME_KH,PRO_NAME_EN,DIS_CODE,DIS_NAME_KH,DIS_NAME_EN,OD_CODE,OD_NAME_KH,OD_NAME_EN,COM_CODE,COM_NAME_KH,COM__NAME_EN,VIL_CODE,VIL_NAME_KH,VIL__NAME_EN,OWNERSHIP,ACRONYM,HF_TYPE_EN,HF_TYPE_KH,HF_LEVEL,HF_HEAD,CONTACT_NO,CONTACT_EMAIL,HF_LAT,HF_LON,START_DATE,GOOGLE_MAP_LINK,STATUS,code_issues
045469,1040701,HP ក្វាវលិច,HP Khave Lech,01,បន្ទាយមានជ័យ,Banteay Meanchey,0108,ស្វាយចេក,Svay Chek,0104,ថ្មពួក,Thma Puok,010804,ស្វាយចេក,Svay Chek,01080410,ខ្វាវលិច,Khvav Lech,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,Unknown,NA,NA,13.8566492156079,102.869665126947,01/01/2006,,Operational,HF_CODE:len7!=6
182370,1040401,HP ប្រាសាទត្បែង,HP Prasat Tbeng,01,បន្ទាយមានជ័យ,Banteay Meanchey,0107,ថ្មពួក,Thma Puok,0104,ថ្មពួក,Thma Puok,010701,បន្ទាយឆ្មារ,Banteay Chhmar,01070113,ប្រាសាទត្បែង,Prasat Tbaeng,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,លោក.ភួង វុត្ថា,885 12 248 088,NA,14.12353752,102.9625021,01/01/2006,,Operational,HF_CODE:len7!=6
841601,1012301,HP អូដង្កោ,HP Ou dongkoa,01,បន្ទាយមានជ័យ,Banteay Meanchey,0102,មង្គលបូរី,Mongkol Borei,0101,មង្គលបូរី,Mongkol Borei,010208,រហាត់ទឹក,Rohat Tuek,01020809,អូរដង្កោ,Ou Dangkao,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,លោក.វ៉ន សុភត្ត្រា,885 89 658 267,sopheaktravorn88@gmail.com,13.49251567,102.9912068,01/01/2006,,Operational,HF_CODE:len7!=6
320408,10022102,HC កំពង់ចាម,HC Kampong Cham,10,ក្រចេះ,Kratie,1004,សំបូរ,Sambour,1002,ក្រចេះ,Kratie,100402,កំពង់ចាម,Kampong Cham,10040203,កំពង់ក្របី,Kampong Krabei,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,វ៉ា កាទីយ៉ា,855 976644468,NA,12.866665,105.944677,01/01/2016,,Operational,HF_CODE:len8!=6
963112,11010202,HP ពូត្រុំ,HP Pou Trom,11,មណ្ឌលគីរី,Mondul Kiri,1105,សែនមនោរម្យ,Saen Monourom,1101,សែនមនោរម្យ,Sen Monorom,110504,រមនា,Romonea,11050403,ពូត្រុំ,Pu Trom,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,យី សូនី,855 887747279,None,12.525489,107.045157,01/01/2006,,Operational,HF_CODE:len8!=6
003189,11010203,HP ស្រែអ៊ី,HP Sre Y,11,មណ្ឌលគីរី,Mondul Kiri,1105,សែនមនោរម្យ,Saen Monourom,1101,សែនមនោរម្យ,Sen Monorom,110504,រមនា,Romonea,11050404,ស្រែអ៊ី,Srae I,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ទុំ សាវុធ,855 977725815,None,12.5253606875208,107.04519454658,01/01/2006,,Operational,HF_CODE:len8!=6
589319,11010303,HP ស្រែធំ,HP Sre Thom,11,មណ្ឌលគីរី,Mondul Kiri,1102,កោះញែក,Kaoh Nheaek,1101,សែនមនោរម្យ,Sen Monorom,110204,សុខសាន្ដ,Sokh Sant,11020403,ស្រែធំ,Srae Thum,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,វី ​ឡាំ,855 888080111,None,12.8970945376266,107.022891447263,01/01/2006,,Operational,HF_CODE:len8!=6
055300,11010304,HP ស្រែជ្រៃ,HP Sre Chrey,11,មណ្ឌលគីរី,Mondul Kiri,1102,កោះញែក,Kaoh Nheaek,1101,សែនមនោរម្យ,Sen Monorom,110201,ណងឃីលិក,Nang Khi Lik,11020102,ណងប៊ួ,Nang Buo,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,កែវ តុលា,855 315556690,None,13.234007,107.078142,01/01/2006,,Operational,HF_CODE:len8!=6
203379,11010306,HP ម្យើល,HP Myeul,11,មណ្ឌលគីរី,Mondul Kiri,1102,កោះញែក,Kaoh Nheaek,1101,សែនមនោរម្យ,Sen Monorom,110201,ណងឃីលិក,Nang Khi Lik,11020104,កោះម្យើលក្រោម,Kaoh Moeal Kraom,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ហាន វណ្ណៈ,855 885386850,None,13.335359,107.27796,01/01/2006,,Operational,HF_CODE:len8!=6
680726,11010307,HP ក្តោយ,HP Kadoy,11,មណ្ឌលគីរី,Mondul Kiri,1102,កោះញែក,Kaoh Nheaek,1101,សែនមនោរម្យ,Sen Monorom,110203,រយ៉,Roya,11020304,ក្ដោយ,Kdaoy,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ថន ប៊ុនឈឿន,855 888456709,None,12.912321,106.699753,01/01/2006,,Operational,HF_CODE:len8!=6
626649,11010402,HP ពូជ្រៃចាង,HP Pou Chrey chang,11,មណ្ឌលគីរី,Mondul Kiri,1104,ពេជ្រាដា,Pech Chreada,1101,សែនមនោរម្យ,Sen Monorom,110402,ពូជ្រៃ,Pu Chrey,11040202,ពូជ្រៃចាង,Pu Chrey Chang,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ចាស់ ​ញិល,855 977265852,None,12.593336,107.240233,31-01-2011,,Operational,HF_CODE:len8!=6
186478,11010502,HP អណ្តូងក្រឡឹង,HP Andaung Kraloeng,11,មណ្ឌលគីរី,Mondul Kiri,1103,អូររាំង,Ou Reang,1101,សែនមនោរម្យ,Sen Monorom,110302,សែនមនោរម្យ,Saen Monourom,11030202,អណ្ដូងក្រឡឹង,Andoung Kraloeng,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ឈួន ឆាន់នី,855 963766639,None,12.31926737,107.0880934,01/01/2006,,Operational,HF_CODE:len8!=6
291131,11010602,HP អូរច្រា,HP Ochra,11,មណ្ឌលគីរី,Mondul Kiri,1101,កែវសីមា,Kaev Seima,1101,សែនមនោរម្យ,Sen Monorom,110105,ស្រែព្រះ,Srae Preah,11010503,ពូកុង,Pu Kong,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ឡើស ស្រីណូប,855 976803282,None,12.2374533501402,106.848449669242,01/01/2006,,Operational,HF_CODE:len8!=6
748534,11010701,HC អូរក្ល,HC Oklor Health,11,មណ្ឌលគីរី,Mondul Kiri,1101,កែវសីមា,Kaev Seima,1101,សែនមនោរម្យ,Sen Monorom,110101,ចុងផ្លាស់,Chong Phlah,11010101,ពូទុង,Pu Tong,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ចាន់ សំអុល,855 975163164,None,12.6123554122505,106.879908654017,01/01/2006,,Operational,HF_CODE:len8!=6
722710,11010702,RH មន្ទីរពេទ្យបង្អែកកោះញែក,RH Koh Nhek,11,មណ្ឌលគីរី,Mondul Kiri,1102,កោះញែក,Kaoh Nheaek,1101,សែនមនោរម្យ,Sen Monorom,110206,ស្រែសង្គម,Srae Sangkum,11020607,រង្សី,Reangsei,DPHI (GPS),RH,Referral Hospital,មន្ទីរពេទ្យបង្អែកស្រុក,,រុន ហា,855 884881234,None,13.0742252827484,107.040162222003,01/01/2016,,Operational,HF_CODE:len8!=6
851168,120306,HC បឹងធំ,HC Boeng Thom,12,ភ្នំពេញ,Phnom Penh,1214,កំបូល,Kamboul,1203,ពោធិសែនជ័យ,Por Senchey,1214082,បឹងធំ,Boeng Thum,121408209,ខ្ចៅ,Khchau,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,សុខ សុវណ្ណរ័ត្ន,855 98764563,soksovannroath@gmail.com,11.4727051761957,104.760658450155,02/07/2012,https://maps.app.goo.gl/Ar4oF5UVv7zkm2NaA,Operational,COM_CODE:len7!=6;VIL_CODE:len9!=8
766704,12030303,HP ត្រពាំងអញ្ចាញ,HP Trapeang Anchanh,12,ភ្នំពេញ,Phnom Penh,1209,ពោធិ៍សែនជ័យ,Pur SenChey,1203,ពោធិសែនជ័យ,Por Senchey,120901,ត្រពាំងក្រសាំង,Trapeang Krasang,12090106,ត្រពាំងអញ្ចាញ,Trapeang Anhchanh,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ស៊ឹម សុម៉ាលី,855 12530199,lysoma738@gmail.com,11.5833679450572,104.788168786887,01/01/2006,https://maps.app.goo.gl/gKVJRiv7czSYytfU7,Operational,HF_CODE:len8!=6
