HF_ID,HF_CODE,NAME_KH,NAME_EN,PRO_CODE,PRO_NAME_KH,PRO_NAME_EN,DIS_CODE,DIS_NAME_KH,DIS_NAME_EN,OD_CODE,OD_NAME_KH,OD_NAME_EN,COM_CODE,COM_NAME_KH,COM__NAME_EN,VIL_CODE,VIL_NAME_KH,VIL__NAME_EN,OWNERSHIP,ACRONYM,HF_TYPE_EN,HF_TYPE_KH,HF_LEVEL,HF_HEAD,CONTACT_NO,CONTACT_EMAIL,HF_LAT,HF_LON,START_DATE,GOOGLE_MAP_LINK,STATUS,gps_issue
454262,010201,RH មន្ទីរពេទ្យបង្អែកប៉ោយប៉ែត,RH Poipet,01,បន្ទាយមានជ័យ,Banteay Meanchey,0105,ប៉ោយប៉ែត,Poipet,0102,ប៉ោយប៉ែត,Poipet,011003,អូរឫស្សី,Ou Russei,01100304,ប្រជាធម្មកើត,Prachea Thorm Kaeut,DPHI (GPS),HC,Referral Hospital,មន្ទីរពេទ្យបង្អែកក្រុង,CPA2,លោកវេជ្ជ.ឱក ទីណា,885 85 999 917,rhpoipet1@gmail.com,,,,,,missing
164549,,HPកំបោរ,HP Kamboa,01,បន្ទាយមានជ័យ,Banteay Meanchey,0104,ព្រះនេត្រព្រះ,Preah Netr Preah,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,010403,ភ្នំលៀប,Phnum Lieb,01040302,កំបោរ,kamboa,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,លោកស្រី រស់ ដាណែត,885 77z 776 554,,,,,,,missing
116347,,HP បឹងជង្រុក,HPBoeung Chungruk Techo Chhneas Chhneas,01,បន្ទាយមានជ័យ,Banteay Meanchey,0109,ម៉ាឡៃ,Malai,0109,ម៉ាឡៃ,Malai,010901,ទួលពង្រ,Tuol Pongro,,បឹងជង្រុកតេជោឈ្នះឈ្នះ,Boeung Chungruk Techo Chhneas Chhneas,DPHI (GPS),HP,Health Post,ប៉ុស្តសុខភាព,,កញ្ញា ខុប គន្ធា,885 87 241 619,,,,,,,missing
411323,,HP ស្លែង,HP Sleng,01,បន្ទាយមានជ័យ,Banteay Meanchey,0108,ស្វាយចេក,Svay Chek,0104,ថ្មពួក,thmor  Puok,,ស្វាយចេក,Svay Chek,,ស្លែង,Sleng,DPHI (GPS),HP,Health Post,ប៉ុស្តសុខភាព,,លោក មូល បៀត,885 97 247 0005,NA,,,,,,missing
672887,,HP ក្វាវលិច,HP Khav Lech,01,បន្ទាយមានជ័យ,Banteay Meanchey,0108,ស្វាយចេក,Svay Chek,0104,ថ្មពួក,thmor  Puok,,ស្វាយចេក,Svay Chek,,ខ្វាវលិច,Khav Lech,DPHI (GPS),HP,Health Post,ប៉ុស្តសុខភាព,,លោក ប៊ុន សារ៉ន,885 12 269 527,NA,,,,,,missing
927151,010507,HP ពន្ធធនាគារ,HP Punterniekea,01,បន្ទាយមានជ័យ,Banteay Meanchey,0106,សិរីសោភ័ណ,Serei Saophoan,0106,សិរីសោភ័ណ,Serei Saophoan,010608,ទឹកថ្លា,Tuek Thla,,ទំនប់ជ្រៃ,Tumnob Chrey,DPHI (GPS),HP,Health Post,ប៉ុស្តសុខភាព,,លោក.អូ សុធី,885 12 340 333,?,,,,,,missing
885979,,HP ថ្មបាំង,HP Thmorbang,01,បន្ទាយមានជ័យ,Banteay Meanchey,0109,ម៉ាឡៃ,Malai,0109,ម៉ាឡៃ,Malai,010901,បឹងបេង,Boeng Beng,,ថ្មបាំង,Thmorbang,DPHI (GPS),HP,Health Post,ប៉ុស្តសុខភាព,,លោក  ឈីវ លីហួ,885 16 231 026,,,,,,,missing
415774,,HP បាក់ខែង,HP Back Kheng,12,ភ្នំពេញ,Phnom Penh,,,,,,,,,,,,,,,,,,,,,,,,,,missing
543711,,HP ប៉ុស្តិសុខភាពសម្តេចព្រះរាជគ្រូ ប៊ូ គ្រី,HP Samdech Presh Reach Krou Bou Kry,12,ភ្នំពេញ,Phnom Penh,,បឹងកេងកង,Boeung Keng Kang,1202,ចតុមុខ,Chaktomouk,,,,,,,,,,,,,,,,,,,,missing
670317,,HC តាំងដូង,HC TaingDaung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing
378731,210317,HC បឹងត្រាញ់ខាងជើង,HC Boeng Tranh Khang Tboung,21,តាកែវ,Takeo,2107,សំរោង,Samraong,2103,ដូនកែវ,Daun Keo,210702,បឹងត្រាញ់ខាងត្បូង,Boeng Tranh Khang Tboung,21070210,តាដក់ពង,Tadak Pong,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ឈន សារ៉េត,855 98286080,None,,,29/11/2023,,Operational,missing
466707,,HC សឹង្ហ,HC Soeng,21,តាកែវ,Takeo,2107,សំរោង,Samraong,2103,ដូនកែវ,Daun Keo,210709,សឹង្ហ,Soeng,21070913,អង្គក្ដី,Angk kdei,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ជា សំណាង,855 92578828,None,,,,,Operational,missing
723061,,HP គុក,HC Baray,21,តាកែវ,Takeo,2108,ដូនកែវ,Doun Kaev,2103,ដូនកែវ,Daun Keo,210801,បារាយណ៍,Baray,21080109,ត្រពាំងឬស្សី,Trapeang Ruessei,,,,,,,,,,,,,Operational,missing
