HF_ID,HF_CODE,NAME_KH,NAME_EN,PRO_CODE,PRO_NAME_KH,PRO_NAME_EN,DIS_CODE,DIS_NAME_KH,DIS_NAME_EN,OD_CODE,OD_NAME_KH,OD_NAME_EN,COM_CODE,COM_NAME_KH,COM__NAME_EN,VIL_CODE,VIL_NAME_KH,VIL__NAME_EN,OWNERSHIP,ACRONYM,HF_TYPE_EN,HF_TYPE_KH,HF_LEVEL,HF_HEAD,CONTACT_NO,CONTACT_EMAIL,HF_LAT,HF_LON,START_DATE,GOOGLE_MAP_LINK,STATUS,nesting_issues
454262,010201,RH មន្ទីរពេទ្យបង្អែកប៉ោយប៉ែត,RH Poipet,01,បន្ទាយមានជ័យ,Banteay Meanchey,0105,ប៉ោយប៉ែត,Poipet,0102,ប៉ោយប៉ែត,Poipet,011003,អូរឫស្សី,Ou Russei,01100304,ប្រជាធម្មកើត,Prachea Thorm Kaeut,DPHI (GPS),HC,Referral Hospital,មន្ទីរពេទ្យបង្អែកក្រុង,CPA2,លោកវេជ្ជ.ឱក ទីណា,885 85 999 917,rhpoipet1@gmail.com,,,,,,COM_not_under_DIS
441597,010415,HC រលួស,HC Rolous,01,បន្ទាយមានជ័យ,Banteay Meanchey,0108,ស្វាយចេក,Svay Chek,0104,ថ្មពួក,thmor  Puok,010701,រលួស,Rolous,01070111,រលួស,Rolous,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,លោក. សួន ថានី,885 78 902 990,NA,13.8052854877928,102.964242425536,01/01/2019,,Operational,COM_not_under_DIS
913109,010202,HC ផ្សារកណ្តាល,HC Phsar Kandal,01,បន្ទាយមានជ័យ,Banteay Meanchey,0105,ប៉ោយប៉ែត,Poipet,0102,ប៉ោយប៉ែត,Poipet,011002,ផ្សារកណ្តាល,Phsar Kandal,01100201,ផ្សារកណ្តាល,Phsar Kandal,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,លោកគ្រូពេទ្យ ខេ ពិសិដ្ឋ,885 17 340 808,khe.pisith@gmail.com,13.6448726293865,102.599457679925,01/01/2023,,Operational,COM_not_under_DIS
828096,010203,HC អូរឫស្សី ១,HC Ou Russei I,01,បន្ទាយមានជ័យ,Banteay Meanchey,0105,ប៉ោយប៉ែត,Poipet,0102,ប៉ោយប៉ែត,Poipet,011003,អូរឫស្សី,Ou Russei,01100306,អូរឬស្សី,Ou Ruessei,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,លោកស្រី.ហួត ម៉ារីណែត,885 12 918483,marinethhout@gmail.com,13.6874130072616,102.630666078347,01/01/2023,,Operational,COM_not_under_DIS
217271,010211,HC អូរឫស្សី ២,HC Ou Russei II,01,បន្ទាយមានជ័យ,Banteay Meanchey,0105,ប៉ោយប៉ែត,Poipet,0102,ប៉ោយប៉ែត,Poipet,011003,អូរឫស្សី,Ou Russei,01100304,ប្រជាធម្មកើត,Prachea Thorm Kaeut,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,លោក អ៊ីម វុទ្ធី,885 77 992 646,hcpoipetii@gmail.com,13.6873824510272,102.630675950504,01/01/2023,,Operational,COM_not_under_DIS
664663,010205,HC និមិត្ត,HC Nimith,01,បន្ទាយមានជ័យ,Banteay Meanchey,0105,ប៉ោយប៉ែត,Poipet,0102,ប៉ោយប៉ែត,Poipet,011001,និមិត្ដ,Nimitt,01100108,និមិត្ដ,Nimitt,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,លោក ឌុច ហួត,885 12350354,d.houth02@gmailcom,13.6195034535051,102.723457830771,01/01/2023,,Operational,COM_not_under_DIS
109086,010124,PH មន្ទីរពេទ្យខេត្តមិត្តភាពកម្ពុជាជប៉ុន,PH Cambodia-Japan Friendship,01,បន្ទាយមានជ័យ,Banteay Meanchey,0001,បន្ទាយមានជ័យ,Banteay Meanchey,0001,បន្ទាយមានជ័យ,Banteay Meanchey,000001,ឫស្សីក្រោក,Ruessei Kraok,01020914,កោះកែវ,Kaoh Kaev,DPHI (GPS),PH,Provincial Hospital,មន្ទីរពេទ្យខេត្ត,CPA3,លោកវេជ្ជ.ទុ បារាំង,885 17 923 346,NA,13.5438475863721,103.024521171145,01/08/2009,,Operational,DIS_not_under_PRO;COM_not_under_DIS;VIL_not_under_COM
616183,010215,HP អន្លង់ស្វាយ,HP Anlong Svay,01,បន្ទាយមានជ័យ,Banteay Meanchey,0105,អូរជ្រៅ,Ou Chrov,0102,ប៉ោយប៉ែត,Poipet,011001,និមិត្ដ,Nimitt,01100113,គួបធំ,Koub Thum,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,លោក ដែង ថងដាំ,885 71 3227 223,deingthongdam@gmail.com,13.6491363252849,102.883994217535,01/11/2022,,Operational,COM_not_under_DIS
247217,010324,HC បុស្បូវ,HC Bos Sbov,01,បន្ទាយមានជ័យ,Banteay Meanchey,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,0103,ព្រះ​នេត្រ​ព្រះ,Preah Net Preah,010409,បុស្សស្បូវ,Bos Sbov,01040904,បុស្សស្បូវ,Bos Sbov,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,លោក.ទី ដាម,885 92 772  778,NA,13.6442823883665,103.044337499642,01/01/2006,,Operational,COM_not_under_DIS
683878,100239,HC គោលាប់,HC Ko Lorb,10,ក្រចេះ,Kratie,1002,ក្រចេះ,Kracheh,1002,ក្រចេះ,Kratie,100605,គោលាប់,Kou Loab,10060501,បន្ទាយ,Banteay,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ទាន កញ្ញា,855 12377425,NA,12.5363175486492,106.070558597804,01/02/2021,,Operational,COM_not_under_DIS
