HF_ID,HF_CODE,NAME_KH,NAME_EN,PRO_CODE,PRO_NAME_KH,PRO_NAME_EN,DIS_CODE,DIS_NAME_KH,DIS_NAME_EN,OD_CODE,OD_NAME_KH,OD_NAME_EN,COM_CODE,COM_NAME_KH,COM__NAME_EN,VIL_CODE,VIL_NAME_KH,VIL__NAME_EN,OWNERSHIP,ACRONYM,HF_TYPE_EN,HF_TYPE_KH,HF_LEVEL,HF_HEAD,CONTACT_NO,CONTACT_EMAIL,HF_LAT,HF_LON,START_DATE,GOOGLE_MAP_LINK,STATUS,date_issue
174130,NA,HC ប៉ោយប៉ែត,HC Poipet,01,បន្ទាយមានជ័យ,Banteay Meanchey,0105,ប៉ោយប៉ែត,Poipet,0102,ប៉ោយប៉ែត,Poipet,010509,ប៉ោយប៉ែត,Poipet,01050907,សិលាខ្មែរ,Seila Khmer,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,Unknown,NA,NA,13.6676066498525,102.58768258095,45292,,Operational,unparseable
198108,,HC គុត្តសត,HC KutShort,01,បន្ទាយមានជ័យ,Banteay Meanchey,0105,អូរជ្រៅ,Ou Chrov,0102,ប៉ោយប៉ែត,Poipet,010509,គុត្តសត,KutShort,01050907,សិលាខ្មែរ,Seila Khmer,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,MPA,លោក ឌី​ ប៊ុនយ៉ុង,889363794,yongban639@gmail.com,13.5920013073348,102.763018677879,45292,,Operational,unparseable
617549,NA,HC គំរូ,HC Kumrou,01,បន្ទាយមានជ័យ,Banteay Meanchey,0108,ថ្មពួក,thmor  Puok,0104,ថ្មពួក,thmor  Puok,010807,គំរូ,Kumrou,01080706,តាយឹង,Tayeung,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,លោក ឡេង សោភ័ណ,885 12 600 496,NA,13.9435378971924,103.050892881477,45292,,Operational,unparseable
626649,11010402,HP ពូជ្រៃចាង,HP Pou Chrey chang,11,មណ្ឌលគីរី,Mondul Kiri,1104,ពេជ្រាដា,Pech Chreada,1101,សែនមនោរម្យ,Sen Monorom,110402,ពូជ្រៃ,Pu Chrey,11040202,ពូជ្រៃចាង,Pu Chrey Chang,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ចាស់ ​ញិល,855 977265852,None,12.593336,107.240233,31-01-2011,,Operational,unparseable
668516,NA,HP ពន្ធនាគារ,HP Prison,11,មណ្ឌលគីរី,Mondul Kiri,1105,សែនមនោរម្យ,Saen Monourom,1101,សែនមនោរម្យ,Sen Monorom,110502,សុខដុម,Sokh Dom,11050202,ដោះក្រមុំ,Daoh Kramom,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,លាង សុខវឿន,855 71798400,None,12.463686,107.182619,01-01-2014,,Operational,unparseable
527944,,HP ព្រៃស្ពឺ,HP Prey Speu,12,ភ្នំពេញ,Phnom Penh,1209,ពោធិ៍សែនជ័យ,Pur SenChey,1203,ពោធិសែនជ័យ,Por Senchey,120915,ចោមចៅទី២,Chaom Chau 2,12091509,ព្រៃស្ពឺ,Prey Spueu,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ស៊ីម ធីតា,855 12996631,simthida@gmail.com,11.505006530494,104.828026057918,2017,https://maps.app.goo.gl/tk4s2XcyHzFypxP27,Operational,unparseable
585402,NA,HP អន្លង់គង,HP Anlong Korng,12,ភ្នំពេញ,Phnom Penh,1205,ដង្កោ,Dangkao,1206,ដង្កោ,Dang Koa,120510,ព្រៃស,Prey Sa,12051006,អន្លង់គង,Anlong Kong,DPHI (Google Map),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ស៊ុន ស៊ីម,855 93 356 899,sunsim201712345@gmail.com,11.488791,104.871927,2000,,Operational,unparseable
849850,121002,NH មន្ទីរពេទ្យព្រះអង្គឌួង,NH Ang Duong,12,ភ្នំពេញ,Phnom Penh,1202,ដូនពេញ,Doun Penh,1210,មន្ទីរពេទ្យជាតិ,National Hopital,120201,ផ្សារថ្មីទី ១,Phsar Thmei Ti Muoy,12020101,ផ្សារថ្មីទី ១,Phsar Thmei Ti Muoy,DPHI (Google Map),NH,National Hospital,មន្ទីរពេទ្យជាតិ,,NA,None,NA,11.571764,104.92342,39814,,Operational,unparseable
035965,121004,NH មន្ទីរពេទ្យកាលម៉ែត,NH Calmette,12,ភ្នំពេញ,Phnom Penh,1202,ដូនពេញ,Doun Penh,1210,មន្ទីរពេទ្យជាតិ,National Hopital,120210,ស្រះចក,Srah Chak,12021001,ទួលគោក,Toul Kok,DPHI (Google Map),NH,National Hospital,មន្ទីរពេទ្យជាតិ,,NA,None,NA,11.581424,104.915868,39826,,Operational,unparseable
040572,121006,NH មជ្ឈមណ្ឌលជាតិកំចាត់ជំងឺរបេង និងហង់សិន,NH National Center for Tuberculosis and Leprosy Control (CENAT),12,ភ្នំពេញ,Phnom Penh,1201,ចំការមន,Chamkar Mon,1210,មន្ទីរពេទ្យជាតិ,National Hopital,120103,បឹងកេងកងទី ២,Boeng Keng Kang Ti Pir,12130202,បឹងកេងកងទី ២,Boeng Keng Kang Ti Pir,DPHI (Google Map),NH,National Hospital,មន្ទីរពេទ្យជាតិ,,NA,None,NA,11.553739,104.919893,42705,,Operational,unparseable
